device_id,manufacturer,model,device_type,network_capability
155,Xiaomi,Model_155,Smartphone,5G
156,Samsung,Model_156,Smartphone,5G
157,Samsung,Model_157,Smartphone,4G
158,Samsung,Model_158,Smartphone,5G
159,Apple,Model_159,Smartphone,5G
160,OnePlus,Model_160,Smartphone,4G
161,Xiaomi,Model_161,Smartphone,5G
162,Samsung,Model_162,Smartphone,4G
163,Samsung,Model_163,Smartphone,5G
164,Apple,Model_164,Smartphone,4G
165,Samsung,Model_165,Smartphone,4G
166,Xiaomi,Model_166,Smartphone,4G
167,Apple,Model_167,Smartphone,5G
168,OnePlus,Model_168,Smartphone,4G
169,Apple,Model_169,Smartphone,4G
170,Samsung,Model_170,Smartphone,5G
171,Xiaomi,Model_171,Smartphone,5G
172,Apple,Model_172,Smartphone,4G
173,Xiaomi,Model_173,Smartphone,5G
174,Samsung,Model_174,Smartphone,4G
175,OnePlus,Model_175,Smartphone,4G
176,OnePlus,Model_176,Smartphone,4G
177,Samsung,Model_177,Smartphone,4G
178,Xiaomi,Model_178,Smartphone,5G
179,OnePlus,Model_179,Smartphone,5G
180,OnePlus,Model_180,Smartphone,5G
181,Apple,Model_181,Smartphone,4G
182,OnePlus,Model_182,Smartphone,4G
183,Samsung,Model_183,Smartphone,5G
184,Apple,Model_184,Smartphone,4G
185,Apple,Model_185,Smartphone,5G
186,Xiaomi,Model_186,Smartphone,5G
187,Xiaomi,Model_187,Smartphone,5G
188,Samsung,Model_188,Smartphone,4G
189,OnePlus,Model_189,Smartphone,4G
190,Xiaomi,Model_190,Smartphone,4G
191,OnePlus,Model_191,Smartphone,5G
192,Apple,Model_192,Smartphone,4G
193,Apple,Model_193,Smartphone,4G
194,Xiaomi,Model_194,Smartphone,5G
195,Samsung,Model_195,Smartphone,5G
196,Apple,Model_196,Smartphone,5G
197,OnePlus,Model_197,Smartphone,4G
198,Xiaomi,Model_198,Smartphone,4G
199,Samsung,Model_199,Smartphone,5G
200,Apple,Model_200,Smartphone,5G
201,Apple,Model_201,Smartphone,4G
202,Apple,Model_202,Smartphone,5G
203,Samsung,Model_203,Smartphone,4G
204,Xiaomi,Model_204,Smartphone,5G
205,Samsung,Model_205,Smartphone,4G
206,OnePlus,Model_206,Smartphone,4G
207,Xiaomi,Model_207,Smartphone,5G
208,Xiaomi,Model_208,Smartphone,4G
209,OnePlus,Model_209,Smartphone,4G
210,OnePlus,Model_210,Smartphone,5G
211,Xiaomi,Model_211,Smartphone,5G
212,Xiaomi,Model_212,Smartphone,5G
213,Apple,Model_213,Smartphone,4G
214,OnePlus,Model_214,Smartphone,5G
215,Samsung,Model_215,Smartphone,5G
216,Xiaomi,Model_216,Smartphone,5G
217,Xiaomi,Model_217,Smartphone,4G
218,Samsung,Model_218,Smartphone,5G
219,OnePlus,Model_219,Smartphone,5G
220,Apple,Model_220,Smartphone,4G
221,Samsung,Model_221,Smartphone,5G
222,Xiaomi,Model_222,Smartphone,5G
223,OnePlus,Model_223,Smartphone,5G
224,Apple,Model_224,Smartphone,5G
225,OnePlus,Model_225,Smartphone,4G
226,Apple,Model_226,Smartphone,4G
227,OnePlus,Model_227,Smartphone,5G
228,Xiaomi,Model_228,Smartphone,4G
229,Samsung,Model_229,Smartphone,4G
230,Xiaomi,Model_230,Smartphone,5G
231,Apple,Model_231,Smartphone,4G
232,OnePlus,Model_232,Smartphone,5G
233,Apple,Model_233,Smartphone,4G
234,Apple,Model_234,Smartphone,4G
235,Samsung,Model_235,Smartphone,5G
236,OnePlus,Model_236,Smartphone,4G
237,Samsung,Model_237,Smartphone,4G
238,Xiaomi,Model_238,Smartphone,4G
239,Samsung,Model_239,Smartphone,5G
240,Apple,Model_240,Smartphone,4G
241,Apple,Model_241,Smartphone,4G
242,Xiaomi,Model_242,Smartphone,5G
243,Apple,Model_243,Smartphone,5G
244,Samsung,Model_244,Smartphone,5G
245,Samsung,Model_245,Smartphone,4G
246,Apple,Model_246,Smartphone,5G
247,Xiaomi,Model_247,Smartphone,5G
248,Apple,Model_248,Smartphone,5G
249,Apple,Model_249,Smartphone,4G
250,Samsung,Model_250,Smartphone,4G
251,Xiaomi,Model_251,Smartphone,5G
252,Xiaomi,Model_252,Smartphone,5G
253,Xiaomi,Model_253,Smartphone,4G
254,Xiaomi,Model_254,Smartphone,4G
255,OnePlus,Model_255,Smartphone,4G
256,Apple,Model_256,Smartphone,5G
257,Samsung,Model_257,Smartphone,5G
258,Apple,Model_258,Smartphone,4G
259,Xiaomi,Model_259,Smartphone,4G
260,Xiaomi,Model_260,Smartphone,5G
261,Samsung,Model_261,Smartphone,4G
262,Samsung,Model_262,Smartphone,4G
263,Xiaomi,Model_263,Smartphone,5G
264,Apple,Model_264,Smartphone,4G
265,Xiaomi,Model_265,Smartphone,5G
266,OnePlus,Model_266,Smartphone,5G
267,Xiaomi,Model_267,Smartphone,4G
268,Samsung,Model_268,Smartphone,5G
269,Samsung,Model_269,Smartphone,4G
270,Xiaomi,Model_270,Smartphone,5G
271,Apple,Model_271,Smartphone,5G
272,Xiaomi,Model_272,Smartphone,5G
273,OnePlus,Model_273,Smartphone,4G
274,Apple,Model_274,Smartphone,4G
275,Apple,Model_275,Smartphone,5G
276,Xiaomi,Model_276,Smartphone,5G
277,Xiaomi,Model_277,Smartphone,5G
278,OnePlus,Model_278,Smartphone,4G
279,Xiaomi,Model_279,Smartphone,4G
280,OnePlus,Model_280,Smartphone,5G
281,Samsung,Model_281,Smartphone,5G
282,Samsung,Model_282,Smartphone,5G
283,OnePlus,Model_283,Smartphone,4G
284,Xiaomi,Model_284,Smartphone,5G
285,Apple,Model_285,Smartphone,5G
286,Apple,Model_286,Smartphone,4G
287,Samsung,Model_287,Smartphone,4G
288,OnePlus,Model_288,Smartphone,5G
289,Samsung,Model_289,Smartphone,4G
290,Apple,Model_290,Smartphone,5G
291,Apple,Model_291,Smartphone,5G
292,Apple,Model_292,Smartphone,4G
293,Xiaomi,Model_293,Smartphone,5G
294,Xiaomi,Model_294,Smartphone,4G
295,Apple,Model_295,Smartphone,5G
296,Xiaomi,Model_296,Smartphone,5G
297,Apple,Model_297,Smartphone,4G
298,OnePlus,Model_298,Smartphone,5G
299,Samsung,Model_299,Smartphone,4G
300,Apple,Model_300,Smartphone,4G
301,Samsung,Model_301,Smartphone,5G
302,Samsung,Model_302,Smartphone,4G
303,OnePlus,Model_303,Smartphone,4G
304,Xiaomi,Model_304,Smartphone,5G
305,OnePlus,Model_305,Smartphone,4G
306,Apple,Model_306,Smartphone,4G
307,Xiaomi,Model_307,Smartphone,4G
308,OnePlus,Model_308,Smartphone,4G
309,Xiaomi,Model_309,Smartphone,5G
310,Apple,Model_310,Smartphone,5G
311,Samsung,Model_311,Smartphone,4G
312,Xiaomi,Model_312,Smartphone,5G
313,Samsung,Model_313,Smartphone,5G
314,Apple,Model_314,Smartphone,5G
315,Apple,Model_315,Smartphone,4G
316,Apple,Model_316,Smartphone,5G
317,Apple,Model_317,Smartphone,4G
318,OnePlus,Model_318,Smartphone,4G
319,OnePlus,Model_319,Smartphone,4G
320,Xiaomi,Model_320,Smartphone,4G
321,Apple,Model_321,Smartphone,4G
322,Samsung,Model_322,Smartphone,5G
323,Xiaomi,Model_323,Smartphone,5G
324,Apple,Model_324,Smartphone,5G
325,Xiaomi,Model_325,Smartphone,5G
326,Apple,Model_326,Smartphone,5G
327,Apple,Model_327,Smartphone,4G
328,Apple,Model_328,Smartphone,5G
329,Samsung,Model_329,Smartphone,4G
330,Samsung,Model_330,Smartphone,5G
331,Xiaomi,Model_331,Smartphone,4G
332,Apple,Model_332,Smartphone,4G
333,OnePlus,Model_333,Smartphone,5G
334,Apple,Model_334,Smartphone,5G
335,OnePlus,Model_335,Smartphone,4G
336,Samsung,Model_336,Smartphone,4G
337,Apple,Model_337,Smartphone,4G
338,OnePlus,Model_338,Smartphone,4G
339,OnePlus,Model_339,Smartphone,4G
340,Xiaomi,Model_340,Smartphone,4G
341,Samsung,Model_341,Smartphone,4G
342,Apple,Model_342,Smartphone,4G
343,Samsung,Model_343,Smartphone,4G
344,Xiaomi,Model_344,Smartphone,4G
345,Samsung,Model_345,Smartphone,4G
346,Samsung,Model_346,Smartphone,4G
347,OnePlus,Model_347,Smartphone,5G
348,OnePlus,Model_348,Smartphone,5G
349,OnePlus,Model_349,Smartphone,5G
350,Samsung,Model_350,Smartphone,5G
351,OnePlus,Model_351,Smartphone,5G
352,Samsung,Model_352,Smartphone,4G
353,Apple,Model_353,Smartphone,4G
354,OnePlus,Model_354,Smartphone,5G
355,Apple,Model_355,Smartphone,4G
356,OnePlus,Model_356,Smartphone,4G
357,OnePlus,Model_357,Smartphone,5G
358,OnePlus,Model_358,Smartphone,4G
359,Xiaomi,Model_359,Smartphone,5G
360,Samsung,Model_360,Smartphone,5G
361,OnePlus,Model_361,Smartphone,4G
362,Apple,Model_362,Smartphone,5G
363,Xiaomi,Model_363,Smartphone,4G
364,Xiaomi,Model_364,Smartphone,5G
365,Xiaomi,Model_365,Smartphone,5G
366,Apple,Model_366,Smartphone,4G
367,Samsung,Model_367,Smartphone,4G
368,Xiaomi,Model_368,Smartphone,5G
369,Apple,Model_369,Smartphone,5G
370,OnePlus,Model_370,Smartphone,5G
371,OnePlus,Model_371,Smartphone,4G
372,Apple,Model_372,Smartphone,4G
373,Apple,Model_373,Smartphone,5G
374,Samsung,Model_374,Smartphone,4G
375,OnePlus,Model_375,Smartphone,4G
376,Samsung,Model_376,Smartphone,4G
377,OnePlus,Model_377,Smartphone,5G
378,Apple,Model_378,Smartphone,4G
379,OnePlus,Model_379,Smartphone,4G
380,Samsung,Model_380,Smartphone,5G
381,Samsung,Model_381,Smartphone,5G
382,Xiaomi,Model_382,Smartphone,4G
383,Xiaomi,Model_383,Smartphone,5G
384,Apple,Model_384,Smartphone,4G
385,Apple,Model_385,Smartphone,5G
386,Xiaomi,Model_386,Smartphone,5G
387,Xiaomi,Model_387,Smartphone,5G
388,Apple,Model_388,Smartphone,5G
389,OnePlus,Model_389,Smartphone,4G
390,OnePlus,Model_390,Smartphone,5G
391,Apple,Model_391,Smartphone,5G
392,Samsung,Model_392,Smartphone,4G
393,Xiaomi,Model_393,Smartphone,4G
394,Samsung,Model_394,Smartphone,5G
395,OnePlus,Model_395,Smartphone,4G
396,Xiaomi,Model_396,Smartphone,5G
397,Apple,Model_397,Smartphone,5G
398,Xiaomi,Model_398,Smartphone,4G
399,Xiaomi,Model_399,Smartphone,4G
400,OnePlus,Model_400,Smartphone,4G
401,Samsung,Model_401,Smartphone,4G
402,OnePlus,Model_402,Smartphone,4G
403,Samsung,Model_403,Smartphone,5G
404,OnePlus,Model_404,Smartphone,4G
405,OnePlus,Model_405,Smartphone,5G
406,Apple,Model_406,Smartphone,4G
407,Xiaomi,Model_407,Smartphone,5G
408,Apple,Model_408,Smartphone,4G
409,OnePlus,Model_409,Smartphone,4G
410,Xiaomi,Model_410,Smartphone,5G
411,Apple,Model_411,Smartphone,5G
412,OnePlus,Model_412,Smartphone,5G
413,Apple,Model_413,Smartphone,5G
414,Apple,Model_414,Smartphone,5G
415,Apple,Model_415,Smartphone,4G
416,Xiaomi,Model_416,Smartphone,5G
417,OnePlus,Model_417,Smartphone,4G
418,Xiaomi,Model_418,Smartphone,4G
419,Samsung,Model_419,Smartphone,5G
420,Xiaomi,Model_420,Smartphone,5G
421,Apple,Model_421,Smartphone,5G
422,Xiaomi,Model_422,Smartphone,4G
423,OnePlus,Model_423,Smartphone,5G
424,Xiaomi,Model_424,Smartphone,5G
425,Samsung,Model_425,Smartphone,4G
426,Xiaomi,Model_426,Smartphone,5G
427,Apple,Model_427,Smartphone,4G
428,Xiaomi,Model_428,Smartphone,4G
429,Samsung,Model_429,Smartphone,5G
430,Samsung,Model_430,Smartphone,5G
431,Xiaomi,Model_431,Smartphone,4G
432,Xiaomi,Model_432,Smartphone,5G
433,Xiaomi,Model_433,Smartphone,4G
434,OnePlus,Model_434,Smartphone,4G
435,Xiaomi,Model_435,Smartphone,5G
436,Xiaomi,Model_436,Smartphone,4G
437,Samsung,Model_437,Smartphone,4G
438,Apple,Model_438,Smartphone,5G
439,Samsung,Model_439,Smartphone,5G
440,Apple,Model_440,Smartphone,4G
441,Samsung,Model_441,Smartphone,4G
442,Samsung,Model_442,Smartphone,4G
443,Apple,Model_443,Smartphone,5G
444,Samsung,Model_444,Smartphone,4G
445,Samsung,Model_445,Smartphone,4G
446,Apple,Model_446,Smartphone,4G
447,Xiaomi,Model_447,Smartphone,4G
448,OnePlus,Model_448,Smartphone,5G
449,Samsung,Model_449,Smartphone,4G
450,Xiaomi,Model_450,Smartphone,4G
451,Xiaomi,Model_451,Smartphone,4G
452,Apple,Model_452,Smartphone,5G
453,Samsung,Model_453,Smartphone,5G
454,OnePlus,Model_454,Smartphone,5G
455,OnePlus,Model_455,Smartphone,5G
456,Apple,Model_456,Smartphone,5G
457,OnePlus,Model_457,Smartphone,5G
458,Xiaomi,Model_458,Smartphone,4G
459,Samsung,Model_459,Smartphone,5G
460,OnePlus,Model_460,Smartphone,4G
461,Xiaomi,Model_461,Smartphone,5G
462,Xiaomi,Model_462,Smartphone,5G
463,OnePlus,Model_463,Smartphone,4G
464,Apple,Model_464,Smartphone,5G
465,Apple,Model_465,Smartphone,5G
466,Xiaomi,Model_466,Smartphone,5G
467,Xiaomi,Model_467,Smartphone,4G
468,OnePlus,Model_468,Smartphone,5G
469,Apple,Model_469,Smartphone,4G
470,Apple,Model_470,Smartphone,4G
471,Samsung,Model_471,Smartphone,5G
472,Xiaomi,Model_472,Smartphone,5G
473,OnePlus,Model_473,Smartphone,5G
474,Apple,Model_474,Smartphone,5G
475,Samsung,Model_475,Smartphone,4G
476,Apple,Model_476,Smartphone,5G
477,Xiaomi,Model_477,Smartphone,4G
478,Xiaomi,Model_478,Smartphone,4G
479,Apple,Model_479,Smartphone,5G
480,Samsung,Model_480,Smartphone,5G
481,OnePlus,Model_481,Smartphone,4G
482,Xiaomi,Model_482,Smartphone,5G
483,Samsung,Model_483,Smartphone,4G
484,Xiaomi,Model_484,Smartphone,5G
485,Xiaomi,Model_485,Smartphone,4G
486,Xiaomi,Model_486,Smartphone,4G
487,Apple,Model_487,Smartphone,5G
488,Xiaomi,Model_488,Smartphone,4G
489,Apple,Model_489,Smartphone,5G
490,OnePlus,Model_490,Smartphone,5G
491,Apple,Model_491,Smartphone,5G
492,OnePlus,Model_492,Smartphone,4G
493,OnePlus,Model_493,Smartphone,5G
494,Apple,Model_494,Smartphone,5G
495,Xiaomi,Model_495,Smartphone,5G
496,Samsung,Model_496,Smartphone,4G
497,OnePlus,Model_497,Smartphone,5G
498,Samsung,Model_498,Smartphone,4G
499,OnePlus,Model_499,Smartphone,4G
500,Apple,Model_500,Smartphone,4G
501,Xiaomi,Model_501,Smartphone,5G
502,Apple,Model_502,Smartphone,5G
503,Xiaomi,Model_503,Smartphone,5G
504,Xiaomi,Model_504,Smartphone,5G
505,Xiaomi,Model_505,Smartphone,5G
506,Apple,Model_506,Smartphone,5G
507,Xiaomi,Model_507,Smartphone,4G
508,Xiaomi,Model_508,Smartphone,5G
509,OnePlus,Model_509,Smartphone,4G
510,Apple,Model_510,Smartphone,4G
511,Apple,Model_511,Smartphone,4G
512,Samsung,Model_512,Smartphone,5G
513,Samsung,Model_513,Smartphone,4G
514,Samsung,Model_514,Smartphone,4G
515,Apple,Model_515,Smartphone,4G
516,Apple,Model_516,Smartphone,5G
517,Apple,Model_517,Smartphone,4G
518,OnePlus,Model_518,Smartphone,4G
519,Samsung,Model_519,Smartphone,5G
520,Samsung,Model_520,Smartphone,5G
521,Samsung,Model_521,Smartphone,5G
522,OnePlus,Model_522,Smartphone,4G
523,Xiaomi,Model_523,Smartphone,4G
524,Apple,Model_524,Smartphone,5G
525,Xiaomi,Model_525,Smartphone,5G
526,Samsung,Model_526,Smartphone,5G
527,OnePlus,Model_527,Smartphone,5G
528,Samsung,Model_528,Smartphone,5G
529,Xiaomi,Model_529,Smartphone,4G
530,OnePlus,Model_530,Smartphone,5G
531,Xiaomi,Model_531,Smartphone,4G
532,Samsung,Model_532,Smartphone,4G
533,Samsung,Model_533,Smartphone,5G
534,Xiaomi,Model_534,Smartphone,4G
535,Xiaomi,Model_535,Smartphone,5G
536,OnePlus,Model_536,Smartphone,5G
537,Xiaomi,Model_537,Smartphone,4G
538,Samsung,Model_538,Smartphone,5G
539,Apple,Model_539,Smartphone,5G
540,Apple,Model_540,Smartphone,5G
541,OnePlus,Model_541,Smartphone,4G
542,Xiaomi,Model_542,Smartphone,5G
543,Samsung,Model_543,Smartphone,5G
544,OnePlus,Model_544,Smartphone,4G
545,Apple,Model_545,Smartphone,5G
546,Apple,Model_546,Smartphone,4G
547,OnePlus,Model_547,Smartphone,4G
548,Apple,Model_548,Smartphone,4G
549,Apple,Model_549,Smartphone,5G
550,Xiaomi,Model_550,Smartphone,5G
551,Xiaomi,Model_551,Smartphone,4G
552,OnePlus,Model_552,Smartphone,5G
553,Xiaomi,Model_553,Smartphone,4G
554,Xiaomi,Model_554,Smartphone,5G
555,OnePlus,Model_555,Smartphone,4G
556,Samsung,Model_556,Smartphone,4G
557,OnePlus,Model_557,Smartphone,5G
558,Xiaomi,Model_558,Smartphone,5G
559,Xiaomi,Model_559,Smartphone,4G
560,Apple,Model_560,Smartphone,5G
561,Xiaomi,Model_561,Smartphone,5G
562,Samsung,Model_562,Smartphone,4G
563,Apple,Model_563,Smartphone,5G
564,Samsung,Model_564,Smartphone,5G
565,Apple,Model_565,Smartphone,4G
566,Xiaomi,Model_566,Smartphone,4G
567,OnePlus,Model_567,Smartphone,4G
568,Samsung,Model_568,Smartphone,4G
569,Samsung,Model_569,Smartphone,4G
570,OnePlus,Model_570,Smartphone,5G
571,Samsung,Model_571,Smartphone,4G
572,Xiaomi,Model_572,Smartphone,5G
573,Samsung,Model_573,Smartphone,5G
574,Samsung,Model_574,Smartphone,5G
575,Samsung,Model_575,Smartphone,5G
576,OnePlus,Model_576,Smartphone,5G
577,Apple,Model_577,Smartphone,4G
578,Apple,Model_578,Smartphone,5G
579,Xiaomi,Model_579,Smartphone,4G
580,Apple,Model_580,Smartphone,4G
581,Samsung,Model_581,Smartphone,5G
582,Apple,Model_582,Smartphone,5G
583,Apple,Model_583,Smartphone,5G
584,Samsung,Model_584,Smartphone,5G
585,OnePlus,Model_585,Smartphone,5G
586,Apple,Model_586,Smartphone,5G
587,OnePlus,Model_587,Smartphone,4G
588,Apple,Model_588,Smartphone,5G
589,OnePlus,Model_589,Smartphone,4G
590,Xiaomi,Model_590,Smartphone,5G
591,OnePlus,Model_591,Smartphone,4G
592,OnePlus,Model_592,Smartphone,5G
593,OnePlus,Model_593,Smartphone,5G
594,Apple,Model_594,Smartphone,4G
595,Apple,Model_595,Smartphone,5G
596,Samsung,Model_596,Smartphone,5G
597,Samsung,Model_597,Smartphone,4G
598,Xiaomi,Model_598,Smartphone,5G
599,OnePlus,Model_599,Smartphone,4G
600,Xiaomi,Model_600,Smartphone,4G
601,Xiaomi,Model_601,Smartphone,5G
602,Xiaomi,Model_602,Smartphone,4G
603,Xiaomi,Model_603,Smartphone,4G
604,Samsung,Model_604,Smartphone,4G
605,Apple,Model_605,Smartphone,4G
606,Samsung,Model_606,Smartphone,5G
607,Xiaomi,Model_607,Smartphone,5G
608,OnePlus,Model_608,Smartphone,5G
609,Samsung,Model_609,Smartphone,5G
610,Apple,Model_610,Smartphone,5G
611,Xiaomi,Model_611,Smartphone,4G
612,Apple,Model_612,Smartphone,5G
613,Apple,Model_613,Smartphone,5G
614,Xiaomi,Model_614,Smartphone,5G
615,Xiaomi,Model_615,Smartphone,4G
616,OnePlus,Model_616,Smartphone,4G
617,Xiaomi,Model_617,Smartphone,4G
618,OnePlus,Model_618,Smartphone,5G
619,Samsung,Model_619,Smartphone,5G
620,Apple,Model_620,Smartphone,5G
621,Samsung,Model_621,Smartphone,5G
622,Xiaomi,Model_622,Smartphone,5G
623,Apple,Model_623,Smartphone,4G
624,OnePlus,Model_624,Smartphone,5G
625,Apple,Model_625,Smartphone,4G
626,Apple,Model_626,Smartphone,5G
627,Xiaomi,Model_627,Smartphone,5G
628,Apple,Model_628,Smartphone,5G
629,Samsung,Model_629,Smartphone,5G
630,OnePlus,Model_630,Smartphone,4G
631,Xiaomi,Model_631,Smartphone,5G
632,Samsung,Model_632,Smartphone,5G
633,Samsung,Model_633,Smartphone,4G
634,Xiaomi,Model_634,Smartphone,5G
635,Apple,Model_635,Smartphone,4G
636,Samsung,Model_636,Smartphone,5G
637,Apple,Model_637,Smartphone,4G
638,OnePlus,Model_638,Smartphone,4G
639,Xiaomi,Model_639,Smartphone,4G
640,Xiaomi,Model_640,Smartphone,5G
641,Samsung,Model_641,Smartphone,5G
642,Xiaomi,Model_642,Smartphone,4G
643,Xiaomi,Model_643,Smartphone,4G
644,Xiaomi,Model_644,Smartphone,4G
645,Apple,Model_645,Smartphone,5G
646,Samsung,Model_646,Smartphone,4G
647,Samsung,Model_647,Smartphone,4G
648,OnePlus,Model_648,Smartphone,5G
