cell_tower_id,tower_name,city,state,region
TWR151,Tower_151,Chennai,Maharashtra,South
TWR152,Tower_152,Bengaluru,Tamil Nadu,West
TWR153,Tower_153,Chennai,Karnataka,South
TWR154,Tower_154,Bengaluru,Telangana,South
TWR155,Tower_155,Bengaluru,Karnataka,West
TWR156,Tower_156,Bengaluru,Karnataka,West
TWR157,Tower_157,Chennai,Tamil Nadu,South
TWR158,Tower_158,Bengaluru,Telangana,South
TWR159,Tower_159,Hyderabad,Telangana,West
TWR160,Tower_160,Bengaluru,Telangana,South
TWR161,Tower_161,Hyderabad,Telangana,West
TWR162,Tower_162,Chennai,Telangana,West
TWR163,Tower_163,Bengaluru,Telangana,West
TWR164,Tower_164,Bengaluru,Telangana,West
TWR165,Tower_165,Chennai,Karnataka,West
TWR166,Tower_166,Bengaluru,Tamil Nadu,South
TWR167,Tower_167,Mumbai,Telangana,South
TWR168,Tower_168,Bengaluru,Tamil Nadu,West
TWR169,Tower_169,Mumbai,Karnataka,South
TWR170,Tower_170,Hyderabad,Karnataka,South
TWR171,Tower_171,Chennai,Tamil Nadu,South
TWR172,Tower_172,Mumbai,Tamil Nadu,West
TWR173,Tower_173,Hyderabad,Maharashtra,West
TWR174,Tower_174,Mumbai,Maharashtra,South
TWR175,Tower_175,Bengaluru,Maharashtra,West
TWR176,Tower_176,Bengaluru,Karnataka,South
TWR177,Tower_177,Chennai,Maharashtra,West
TWR178,Tower_178,Chennai,Maharashtra,South
TWR179,Tower_179,Chennai,Karnataka,South
TWR180,Tower_180,Mumbai,Telangana,West
TWR181,Tower_181,Mumbai,Karnataka,West
TWR182,Tower_182,Mumbai,Tamil Nadu,South
TWR183,Tower_183,Hyderabad,Tamil Nadu,West
TWR184,Tower_184,Mumbai,Maharashtra,West
TWR185,Tower_185,Mumbai,Karnataka,South
TWR186,Tower_186,Chennai,Maharashtra,South
TWR187,Tower_187,Bengaluru,Tamil Nadu,West
TWR188,Tower_188,Mumbai,Karnataka,West
TWR189,Tower_189,Hyderabad,Maharashtra,West
TWR190,Tower_190,Bengaluru,Tamil Nadu,South
TWR191,Tower_191,Chennai,Karnataka,West
TWR192,Tower_192,Hyderabad,Maharashtra,West
TWR193,Tower_193,Chennai,Maharashtra,West
TWR194,Tower_194,Chennai,Telangana,West
TWR195,Tower_195,Mumbai,Telangana,South
TWR196,Tower_196,Bengaluru,Karnataka,West
TWR197,Tower_197,Hyderabad,Karnataka,South
TWR198,Tower_198,Hyderabad,Telangana,West
TWR199,Tower_199,Mumbai,Telangana,South
TWR200,Tower_200,Bengaluru,Karnataka,West
TWR201,Tower_201,Chennai,Maharashtra,West
TWR202,Tower_202,Bengaluru,Karnataka,South
TWR203,Tower_203,Bengaluru,Telangana,West
TWR204,Tower_204,Chennai,Tamil Nadu,West
TWR205,Tower_205,Bengaluru,Tamil Nadu,South
TWR206,Tower_206,Chennai,Telangana,South
TWR207,Tower_207,Hyderabad,Tamil Nadu,South
TWR208,Tower_208,Mumbai,Maharashtra,South
TWR209,Tower_209,Hyderabad,Maharashtra,South
TWR210,Tower_210,Bengaluru,Telangana,West
TWR211,Tower_211,Hyderabad,Telangana,West
TWR212,Tower_212,Hyderabad,Karnataka,South
TWR213,Tower_213,Hyderabad,Maharashtra,South
TWR214,Tower_214,Chennai,Telangana,South
TWR215,Tower_215,Mumbai,Karnataka,West
TWR216,Tower_216,Hyderabad,Tamil Nadu,South
TWR217,Tower_217,Bengaluru,Maharashtra,West
TWR218,Tower_218,Chennai,Maharashtra,South
TWR219,Tower_219,Chennai,Tamil Nadu,South
TWR220,Tower_220,Hyderabad,Karnataka,South
TWR221,Tower_221,Bengaluru,Tamil Nadu,West
TWR222,Tower_222,Hyderabad,Tamil Nadu,South
TWR223,Tower_223,Mumbai,Karnataka,West
TWR224,Tower_224,Bengaluru,Maharashtra,South
TWR225,Tower_225,Chennai,Telangana,West
TWR226,Tower_226,Bengaluru,Telangana,South
TWR227,Tower_227,Chennai,Karnataka,South
TWR228,Tower_228,Chennai,Telangana,South
TWR229,Tower_229,Hyderabad,Karnataka,West
TWR230,Tower_230,Mumbai,Telangana,West
TWR231,Tower_231,Chennai,Karnataka,West
TWR232,Tower_232,Hyderabad,Telangana,West
TWR233,Tower_233,Chennai,Telangana,South
TWR234,Tower_234,Hyderabad,Karnataka,South
TWR235,Tower_235,Chennai,Maharashtra,South
TWR236,Tower_236,Bengaluru,Telangana,West
TWR237,Tower_237,Bengaluru,Tamil Nadu,West
TWR238,Tower_238,Chennai,Telangana,South
TWR239,Tower_239,Chennai,Maharashtra,South
TWR240,Tower_240,Hyderabad,Karnataka,South
TWR241,Tower_241,Mumbai,Tamil Nadu,South
TWR242,Tower_242,Hyderabad,Maharashtra,South
TWR243,Tower_243,Hyderabad,Tamil Nadu,West
TWR244,Tower_244,Hyderabad,Karnataka,South
TWR245,Tower_245,Bengaluru,Tamil Nadu,South
TWR246,Tower_246,Mumbai,Telangana,West
TWR247,Tower_247,Hyderabad,Telangana,South
TWR248,Tower_248,Bengaluru,Telangana,West
TWR249,Tower_249,Hyderabad,Maharashtra,West
TWR250,Tower_250,Bengaluru,Maharashtra,South
TWR251,Tower_251,Chennai,Karnataka,West
TWR252,Tower_252,Mumbai,Karnataka,South
TWR253,Tower_253,Bengaluru,Tamil Nadu,West
TWR254,Tower_254,Bengaluru,Tamil Nadu,West
TWR255,Tower_255,Mumbai,Telangana,South
TWR256,Tower_256,Chennai,Telangana,West
TWR257,Tower_257,Bengaluru,Telangana,South
TWR258,Tower_258,Bengaluru,Telangana,South
TWR259,Tower_259,Hyderabad,Karnataka,South
TWR260,Tower_260,Bengaluru,Telangana,West
TWR261,Tower_261,Mumbai,Karnataka,West
TWR262,Tower_262,Mumbai,Karnataka,West
TWR263,Tower_263,Mumbai,Tamil Nadu,West
TWR264,Tower_264,Bengaluru,Telangana,South
TWR265,Tower_265,Bengaluru,Telangana,West
TWR266,Tower_266,Hyderabad,Maharashtra,South
TWR267,Tower_267,Bengaluru,Maharashtra,South
TWR268,Tower_268,Chennai,Karnataka,South
TWR269,Tower_269,Hyderabad,Telangana,West
TWR270,Tower_270,Chennai,Telangana,South
TWR271,Tower_271,Mumbai,Karnataka,South
TWR272,Tower_272,Mumbai,Karnataka,West
TWR273,Tower_273,Bengaluru,Karnataka,South
TWR274,Tower_274,Chennai,Maharashtra,West
TWR275,Tower_275,Mumbai,Karnataka,South
TWR276,Tower_276,Chennai,Tamil Nadu,West
TWR277,Tower_277,Chennai,Maharashtra,West
TWR278,Tower_278,Bengaluru,Maharashtra,South
TWR279,Tower_279,Chennai,Karnataka,South
TWR280,Tower_280,Mumbai,Tamil Nadu,West
TWR281,Tower_281,Chennai,Maharashtra,South
TWR282,Tower_282,Hyderabad,Karnataka,South
TWR283,Tower_283,Mumbai,Telangana,South
TWR284,Tower_284,Mumbai,Karnataka,South
TWR285,Tower_285,Hyderabad,Karnataka,West
TWR286,Tower_286,Hyderabad,Maharashtra,West
TWR287,Tower_287,Hyderabad,Maharashtra,South
TWR288,Tower_288,Mumbai,Maharashtra,West
TWR289,Tower_289,Bengaluru,Maharashtra,South
TWR290,Tower_290,Hyderabad,Tamil Nadu,West
TWR291,Tower_291,Mumbai,Tamil Nadu,South
TWR292,Tower_292,Bengaluru,Maharashtra,West
TWR293,Tower_293,Bengaluru,Maharashtra,South
TWR294,Tower_294,Bengaluru,Karnataka,West
TWR295,Tower_295,Bengaluru,Telangana,West
TWR296,Tower_296,Hyderabad,Karnataka,West
TWR297,Tower_297,Mumbai,Karnataka,South
TWR298,Tower_298,Chennai,Telangana,South
TWR299,Tower_299,Chennai,Karnataka,South
TWR300,Tower_300,Bengaluru,Tamil Nadu,South
TWR301,Tower_301,Bengaluru,Telangana,South
TWR302,Tower_302,Bengaluru,Karnataka,South
TWR303,Tower_303,Mumbai,Tamil Nadu,South
TWR304,Tower_304,Mumbai,Telangana,West
TWR305,Tower_305,Chennai,Karnataka,West
TWR306,Tower_306,Chennai,Telangana,West
TWR307,Tower_307,Bengaluru,Telangana,South
TWR308,Tower_308,Mumbai,Tamil Nadu,West
TWR309,Tower_309,Chennai,Tamil Nadu,South
TWR310,Tower_310,Hyderabad,Maharashtra,West
TWR311,Tower_311,Bengaluru,Tamil Nadu,West
TWR312,Tower_312,Mumbai,Karnataka,West
TWR313,Tower_313,Bengaluru,Telangana,West
TWR314,Tower_314,Mumbai,Telangana,South
TWR315,Tower_315,Chennai,Karnataka,South
TWR316,Tower_316,Hyderabad,Karnataka,West
TWR317,Tower_317,Chennai,Karnataka,West
TWR318,Tower_318,Chennai,Tamil Nadu,South
TWR319,Tower_319,Hyderabad,Tamil Nadu,South
TWR320,Tower_320,Mumbai,Telangana,West
TWR321,Tower_321,Chennai,Telangana,South
TWR322,Tower_322,Mumbai,Karnataka,West
TWR323,Tower_323,Hyderabad,Maharashtra,South
TWR324,Tower_324,Bengaluru,Telangana,South
TWR325,Tower_325,Mumbai,Karnataka,South
TWR326,Tower_326,Bengaluru,Telangana,West
TWR327,Tower_327,Chennai,Maharashtra,South
TWR328,Tower_328,Mumbai,Tamil Nadu,West
TWR329,Tower_329,Bengaluru,Maharashtra,South
TWR330,Tower_330,Bengaluru,Telangana,West
TWR331,Tower_331,Bengaluru,Maharashtra,West
TWR332,Tower_332,Hyderabad,Telangana,South
TWR333,Tower_333,Hyderabad,Karnataka,West
TWR334,Tower_334,Hyderabad,Karnataka,South
TWR335,Tower_335,Mumbai,Tamil Nadu,West
TWR336,Tower_336,Bengaluru,Telangana,West
TWR337,Tower_337,Bengaluru,Tamil Nadu,South
TWR338,Tower_338,Bengaluru,Telangana,West
TWR339,Tower_339,Hyderabad,Telangana,West
TWR340,Tower_340,Chennai,Tamil Nadu,West
TWR341,Tower_341,Chennai,Tamil Nadu,West
TWR342,Tower_342,Hyderabad,Maharashtra,South
TWR343,Tower_343,Mumbai,Telangana,South
TWR344,Tower_344,Chennai,Tamil Nadu,South
TWR345,Tower_345,Bengaluru,Tamil Nadu,South
TWR346,Tower_346,Mumbai,Maharashtra,South
TWR347,Tower_347,Mumbai,Maharashtra,South
TWR348,Tower_348,Hyderabad,Karnataka,West
TWR349,Tower_349,Mumbai,Telangana,West
TWR350,Tower_350,Chennai,Maharashtra,South
TWR351,Tower_351,Bengaluru,Telangana,South
TWR352,Tower_352,Hyderabad,Karnataka,West
TWR353,Tower_353,Bengaluru,Karnataka,South
TWR354,Tower_354,Chennai,Maharashtra,West
TWR355,Tower_355,Hyderabad,Tamil Nadu,South
TWR356,Tower_356,Mumbai,Tamil Nadu,South
TWR357,Tower_357,Mumbai,Karnataka,West
TWR358,Tower_358,Chennai,Tamil Nadu,South
TWR359,Tower_359,Mumbai,Maharashtra,West
TWR360,Tower_360,Chennai,Tamil Nadu,West
TWR361,Tower_361,Chennai,Maharashtra,West
TWR362,Tower_362,Hyderabad,Maharashtra,South
TWR363,Tower_363,Hyderabad,Karnataka,South
TWR364,Tower_364,Chennai,Karnataka,West
TWR365,Tower_365,Mumbai,Tamil Nadu,South
TWR366,Tower_366,Bengaluru,Karnataka,West
TWR367,Tower_367,Chennai,Karnataka,West
TWR368,Tower_368,Mumbai,Tamil Nadu,South
TWR369,Tower_369,Mumbai,Tamil Nadu,South
TWR370,Tower_370,Bengaluru,Tamil Nadu,South
TWR371,Tower_371,Hyderabad,Maharashtra,West
TWR372,Tower_372,Chennai,Telangana,South
TWR373,Tower_373,Bengaluru,Karnataka,West
TWR374,Tower_374,Mumbai,Karnataka,South
TWR375,Tower_375,Mumbai,Telangana,South
TWR376,Tower_376,Bengaluru,Tamil Nadu,South
TWR377,Tower_377,Bengaluru,Tamil Nadu,South
TWR378,Tower_378,Chennai,Maharashtra,South
TWR379,Tower_379,Hyderabad,Karnataka,South
TWR380,Tower_380,Hyderabad,Telangana,South
TWR381,Tower_381,Chennai,Tamil Nadu,West
TWR382,Tower_382,Hyderabad,Maharashtra,West
TWR383,Tower_383,Bengaluru,Maharashtra,South
TWR384,Tower_384,Hyderabad,Maharashtra,West
TWR385,Tower_385,Hyderabad,Maharashtra,South
TWR386,Tower_386,Bengaluru,Tamil Nadu,West
TWR387,Tower_387,Bengaluru,Tamil Nadu,South
TWR388,Tower_388,Chennai,Telangana,South
TWR389,Tower_389,Hyderabad,Telangana,South
TWR390,Tower_390,Hyderabad,Tamil Nadu,West
TWR391,Tower_391,Bengaluru,Karnataka,West
TWR392,Tower_392,Hyderabad,Maharashtra,South
TWR393,Tower_393,Bengaluru,Tamil Nadu,West
TWR394,Tower_394,Chennai,Maharashtra,South
TWR395,Tower_395,Chennai,Maharashtra,West
TWR396,Tower_396,Chennai,Tamil Nadu,South
TWR397,Tower_397,Bengaluru,Maharashtra,South
TWR398,Tower_398,Bengaluru,Tamil Nadu,South
TWR399,Tower_399,Bengaluru,Tamil Nadu,West
TWR400,Tower_400,Hyderabad,Tamil Nadu,South
TWR401,Tower_401,Mumbai,Karnataka,South
TWR402,Tower_402,Bengaluru,Karnataka,South
TWR403,Tower_403,Bengaluru,Karnataka,South
TWR404,Tower_404,Mumbai,Karnataka,West
TWR405,Tower_405,Chennai,Tamil Nadu,South
TWR406,Tower_406,Chennai,Maharashtra,South
TWR407,Tower_407,Hyderabad,Maharashtra,South
TWR408,Tower_408,Bengaluru,Karnataka,West
TWR409,Tower_409,Bengaluru,Karnataka,South
TWR410,Tower_410,Mumbai,Telangana,West
TWR411,Tower_411,Mumbai,Maharashtra,South
TWR412,Tower_412,Mumbai,Telangana,South
TWR413,Tower_413,Bengaluru,Tamil Nadu,South
TWR414,Tower_414,Chennai,Tamil Nadu,West
TWR415,Tower_415,Mumbai,Telangana,West
TWR416,Tower_416,Hyderabad,Maharashtra,West
TWR417,Tower_417,Hyderabad,Karnataka,South
TWR418,Tower_418,Mumbai,Telangana,West
TWR419,Tower_419,Bengaluru,Maharashtra,South
TWR420,Tower_420,Chennai,Karnataka,West
TWR421,Tower_421,Chennai,Maharashtra,South
TWR422,Tower_422,Hyderabad,Tamil Nadu,South
TWR423,Tower_423,Bengaluru,Tamil Nadu,West
TWR424,Tower_424,Bengaluru,Maharashtra,South
TWR425,Tower_425,Mumbai,Telangana,West
TWR426,Tower_426,Mumbai,Telangana,South
TWR427,Tower_427,Mumbai,Telangana,South
TWR428,Tower_428,Bengaluru,Tamil Nadu,South
TWR429,Tower_429,Mumbai,Telangana,West
TWR430,Tower_430,Bengaluru,Tamil Nadu,South
TWR431,Tower_431,Chennai,Tamil Nadu,West
TWR432,Tower_432,Chennai,Maharashtra,West
TWR433,Tower_433,Mumbai,Maharashtra,West
TWR434,Tower_434,Hyderabad,Karnataka,South
TWR435,Tower_435,Hyderabad,Karnataka,West
TWR436,Tower_436,Hyderabad,Maharashtra,West
TWR437,Tower_437,Hyderabad,Karnataka,South
TWR438,Tower_438,Chennai,Karnataka,West
TWR439,Tower_439,Bengaluru,Maharashtra,South
TWR440,Tower_440,Mumbai,Telangana,West
TWR441,Tower_441,Chennai,Karnataka,West
TWR442,Tower_442,Bengaluru,Tamil Nadu,South
TWR443,Tower_443,Hyderabad,Telangana,South
TWR444,Tower_444,Mumbai,Telangana,West
TWR445,Tower_445,Hyderabad,Telangana,South
TWR446,Tower_446,Chennai,Tamil Nadu,West
TWR447,Tower_447,Mumbai,Karnataka,West
TWR448,Tower_448,Hyderabad,Karnataka,South
TWR449,Tower_449,Hyderabad,Tamil Nadu,South
TWR450,Tower_450,Hyderabad,Tamil Nadu,West
TWR451,Tower_451,Bengaluru,Tamil Nadu,West
TWR452,Tower_452,Bengaluru,Telangana,West
TWR453,Tower_453,Bengaluru,Telangana,West
TWR454,Tower_454,Hyderabad,Maharashtra,South
TWR455,Tower_455,Bengaluru,Telangana,West
TWR456,Tower_456,Chennai,Tamil Nadu,South
TWR457,Tower_457,Mumbai,Tamil Nadu,South
TWR458,Tower_458,Bengaluru,Telangana,West
TWR459,Tower_459,Chennai,Telangana,South
TWR460,Tower_460,Chennai,Maharashtra,West
TWR461,Tower_461,Mumbai,Maharashtra,South
TWR462,Tower_462,Chennai,Karnataka,South
TWR463,Tower_463,Mumbai,Karnataka,South
TWR464,Tower_464,Bengaluru,Telangana,South
TWR465,Tower_465,Mumbai,Maharashtra,West
TWR466,Tower_466,Hyderabad,Karnataka,South
TWR467,Tower_467,Mumbai,Tamil Nadu,West
TWR468,Tower_468,Mumbai,Maharashtra,South
TWR469,Tower_469,Bengaluru,Maharashtra,West
TWR470,Tower_470,Hyderabad,Maharashtra,West
TWR471,Tower_471,Mumbai,Telangana,South
TWR472,Tower_472,Chennai,Telangana,West
TWR473,Tower_473,Bengaluru,Maharashtra,South
TWR474,Tower_474,Bengaluru,Karnataka,West
TWR475,Tower_475,Chennai,Tamil Nadu,South
TWR476,Tower_476,Hyderabad,Tamil Nadu,South
TWR477,Tower_477,Hyderabad,Maharashtra,South
TWR478,Tower_478,Mumbai,Maharashtra,South
TWR479,Tower_479,Hyderabad,Karnataka,South
TWR480,Tower_480,Mumbai,Karnataka,South
TWR481,Tower_481,Mumbai,Maharashtra,South
TWR482,Tower_482,Mumbai,Karnataka,South
TWR483,Tower_483,Hyderabad,Telangana,South
TWR484,Tower_484,Mumbai,Telangana,West
TWR485,Tower_485,Mumbai,Karnataka,South
TWR486,Tower_486,Hyderabad,Tamil Nadu,South
TWR487,Tower_487,Mumbai,Karnataka,West
TWR488,Tower_488,Mumbai,Karnataka,West
TWR489,Tower_489,Hyderabad,Maharashtra,South
TWR490,Tower_490,Bengaluru,Tamil Nadu,South
TWR491,Tower_491,Hyderabad,Maharashtra,South
TWR492,Tower_492,Chennai,Telangana,West
TWR493,Tower_493,Bengaluru,Tamil Nadu,South
TWR494,Tower_494,Hyderabad,Karnataka,South
TWR495,Tower_495,Bengaluru,Maharashtra,West
TWR496,Tower_496,Mumbai,Telangana,South
TWR497,Tower_497,Hyderabad,Karnataka,South
TWR498,Tower_498,Chennai,Tamil Nadu,West
TWR499,Tower_499,Chennai,Karnataka,West
TWR500,Tower_500,Hyderabad,Karnataka,South
TWR501,Tower_501,Bengaluru,Karnataka,South
TWR502,Tower_502,Hyderabad,Tamil Nadu,South
TWR503,Tower_503,Chennai,Maharashtra,South
TWR504,Tower_504,Bengaluru,Telangana,South
TWR505,Tower_505,Hyderabad,Maharashtra,South
TWR506,Tower_506,Hyderabad,Karnataka,West
TWR507,Tower_507,Hyderabad,Tamil Nadu,West
TWR508,Tower_508,Hyderabad,Tamil Nadu,West
TWR509,Tower_509,Mumbai,Maharashtra,South
TWR510,Tower_510,Chennai,Karnataka,South
TWR511,Tower_511,Bengaluru,Karnataka,South
TWR512,Tower_512,Chennai,Karnataka,South
TWR513,Tower_513,Mumbai,Maharashtra,South
TWR514,Tower_514,Hyderabad,Karnataka,South
TWR515,Tower_515,Hyderabad,Karnataka,South
TWR516,Tower_516,Chennai,Maharashtra,West
TWR517,Tower_517,Hyderabad,Telangana,South
TWR518,Tower_518,Bengaluru,Karnataka,West
TWR519,Tower_519,Chennai,Tamil Nadu,South
TWR520,Tower_520,Bengaluru,Tamil Nadu,South
TWR521,Tower_521,Hyderabad,Telangana,West
TWR522,Tower_522,Hyderabad,Telangana,West
TWR523,Tower_523,Chennai,Karnataka,South
TWR524,Tower_524,Hyderabad,Karnataka,West
TWR525,Tower_525,Hyderabad,Maharashtra,West
TWR526,Tower_526,Chennai,Tamil Nadu,South
TWR527,Tower_527,Chennai,Karnataka,West
TWR528,Tower_528,Hyderabad,Karnataka,West
TWR529,Tower_529,Chennai,Tamil Nadu,West
TWR530,Tower_530,Mumbai,Tamil Nadu,South
TWR531,Tower_531,Bengaluru,Maharashtra,West
TWR532,Tower_532,Bengaluru,Karnataka,South
TWR533,Tower_533,Mumbai,Karnataka,South
TWR534,Tower_534,Mumbai,Karnataka,West
TWR535,Tower_535,Hyderabad,Karnataka,West
TWR536,Tower_536,Chennai,Tamil Nadu,South
