subscription_id,customer_id,offer_id,revenue
188,16617,1,465.28
189,45129,4,263.17
190,7809,2,387.73
191,23101,4,137.42
192,18945,5,414.48
193,48779,1,416.77
194,18755,2,221.24
195,42818,2,58.37
196,9683,5,177.39
197,28616,5,219.31
198,16049,2,156.8
199,49188,2,481.53
200,32531,2,157.98
201,8235,2,402.73
202,33653,5,210.45
203,35259,1,295.31
204,8850,5,283.57
205,38108,2,441.86
206,42981,2,104.44
207,35691,2,337.01
208,18088,5,319.63
209,32366,5,242.12
210,40992,5,159.9
211,44039,4,115.48
212,15401,5,188.48
213,376,2,468.96
214,3308,2,209.98
215,33930,3,412.83
216,41099,3,417.81
217,32169,1,445.88
218,7757,1,120.59
219,28620,3,414.67
220,46534,4,62.44
221,18298,4,487.54
222,10259,3,351.49
223,7016,3,66.03
224,18994,3,298.32
225,7943,2,220.96
226,43692,1,247.41
227,2125,1,284.96
228,40422,3,98.08
229,29095,5,286.23
230,49286,4,84.05
231,47809,4,340.35
232,16580,4,460.97
233,4525,3,201.82
234,14757,2,52.0
235,35240,1,297.77
236,43288,3,36.45
237,18116,5,352.41
238,30913,1,58.7
239,25123,5,366.79
240,17157,5,469.46
241,30919,4,10.92
242,8155,2,480.86
243,41336,3,96.99
244,38181,3,312.79
245,6299,2,253.74
246,45958,1,46.55
247,22674,5,222.19
248,933,4,147.22
249,21483,5,236.26
250,22782,4,366.54
251,30509,1,135.78
252,19093,2,425.9
253,24025,2,305.67
254,21732,2,381.58
255,39782,2,457.32
256,4754,3,107.07
257,21114,2,220.72
258,18252,2,343.56
259,16196,4,127.85
260,19325,1,267.48
261,13845,5,254.97
262,16946,5,170.6
263,17763,5,124.01
264,8186,4,383.04
265,23671,3,486.89
266,22847,3,194.01
267,7713,3,261.28
268,33392,3,194.34
269,1100,4,95.05
270,15605,4,159.07
271,48320,2,347.31
272,49077,2,94.09
273,2700,4,396.09
274,23431,2,36.72
275,22184,3,356.8
276,5916,3,429.95
277,9504,3,322.78
278,49162,3,168.32
279,44517,3,333.61
280,30425,5,481.48
281,38834,2,224.66
282,31635,4,264.79
283,38001,3,53.25
284,18290,4,241.95
285,29605,3,417.64
286,21214,2,331.99
287,48111,1,337.54
288,22296,1,311.28
289,22888,2,446.65
290,38530,5,158.31
291,21713,4,453.63
292,12917,2,251.94
293,48436,5,212.5
294,17525,3,352.71
295,23887,3,180.68
296,10907,1,190.16
297,24785,5,240.49
298,38045,3,353.53
299,19018,3,392.78
300,7800,5,23.14
301,351,3,210.01
302,8999,5,33.88
303,44238,5,345.68
304,42940,4,250.92
305,4478,1,338.42
306,33765,5,228.09
307,47344,5,255.19
308,33128,2,94.05
309,26635,1,493.36
310,42283,2,32.21
311,6063,1,406.41
312,49258,3,468.51
313,21218,1,48.24
314,29991,2,307.47
315,29180,1,89.36
316,35426,2,425.22
317,19602,1,492.09
318,7964,4,434.5
319,30675,1,246.88
320,13750,5,256.32
321,49659,4,484.76
322,31348,4,357.88
323,207,5,164.85
324,16968,3,44.88
325,10446,5,121.58
326,5738,5,156.57
327,13026,3,24.92
328,14519,2,255.56
329,22437,5,442.21
330,36988,2,129.71
331,31556,2,313.85
332,860,3,53.22
333,37144,3,384.15
334,25133,5,378.01
335,47072,2,272.62
336,30943,3,382.41
337,33755,2,82.86
338,13006,3,382.73
339,20854,1,282.2
340,45424,3,74.27
341,13419,4,435.33
342,37881,3,365.8
343,31147,1,277.46
344,22981,1,315.39
345,45678,1,291.74
346,49001,4,383.7
347,43907,1,279.78
348,32049,3,289.6
349,18342,5,440.64
350,15365,3,290.75
351,43522,5,186.49
352,39636,4,462.87
353,10441,4,164.56
354,48490,4,219.76
355,45574,3,119.92
356,34700,3,356.91
357,49073,2,317.98
358,37321,3,27.19
359,39302,4,489.48
360,13179,5,230.34
361,6833,1,209.61
362,45421,5,139.17
363,7540,5,350.72
364,37360,2,436.92
365,33704,3,238.8
366,47955,5,431.02
367,22066,4,29.34
368,45623,2,70.31
369,24796,4,490.64
370,43976,2,310.13
371,10971,3,175.33
372,8884,4,214.59
373,11701,4,482.2
374,7185,5,285.84
375,27593,5,69.71
376,9845,4,256.17
377,2741,4,97.74
378,19742,4,67.12
379,26971,4,114.66
380,4191,1,464.1
381,30722,4,101.77
382,24051,2,298.32
383,26395,2,315.6
384,14246,3,170.33
385,34715,3,45.65
386,13523,2,36.55
387,14337,1,209.28
388,47761,5,79.16
389,34066,5,60.43
390,4929,2,99.88
391,10640,2,361.46
392,5293,4,441.56
393,3396,5,218.3
394,11933,1,186.36
395,4035,1,206.74
396,31019,5,310.63
397,24669,4,321.93
398,30854,4,127.21
399,25476,1,33.6
400,28610,1,45.7
401,21429,2,384.06
402,38849,2,298.21
403,155,3,346.92
404,5953,2,397.8
405,9663,3,56.18
406,42578,2,112.92
407,17007,2,91.29
408,23011,1,55.46
409,3346,3,471.09
410,13759,4,207.7
411,30669,1,426.85
412,47664,2,99.4
413,7604,1,449.9
414,25584,3,66.58
415,37627,3,404.0
416,11544,1,212.25
417,45999,4,340.98
418,1682,5,244.08
419,25512,2,10.17
420,27307,5,286.6
421,12316,2,380.86
422,48627,2,26.2
423,18981,5,49.81
424,49828,1,181.55
425,9592,3,360.86
426,31051,1,439.54
427,28956,2,427.19
428,46201,2,452.51
429,175,2,334.05
430,633,2,366.41
431,6015,1,139.39
432,23995,1,282.72
433,39246,3,101.29
434,16889,2,319.56
435,35538,3,352.77
436,5851,2,234.97
437,31512,4,284.52
438,13414,2,354.1
439,42576,4,456.95
440,29785,3,98.37
441,49570,2,385.93
442,47492,4,247.4
443,10892,3,416.42
444,4163,4,45.07
445,44807,5,187.55
446,17193,1,60.42
447,13798,4,43.98
448,35193,2,92.8
449,4983,1,302.35
450,24796,2,102.89
451,47754,5,420.1
452,31336,3,480.52
453,46121,3,304.5
454,37555,5,342.81
455,16169,2,129.06
456,28965,4,137.21
457,26192,3,481.18
458,3336,1,247.68
459,25727,4,65.63
460,40497,2,419.58
461,22354,3,238.38
462,19826,1,341.67
463,13029,5,96.27
464,12151,1,86.65
465,21175,1,499.72
466,26008,4,230.17
467,28096,5,200.11
468,39192,3,31.51
469,25455,4,478.13
470,37363,3,124.62
471,17472,2,21.03
472,1607,5,253.39
473,14279,4,218.01
474,43151,3,57.09
475,10237,4,422.08
476,49465,2,290.12
477,44479,2,130.66
478,6632,4,249.59
479,11380,3,262.34
480,48559,1,426.5
481,17458,3,57.35
482,46815,4,215.07
483,6665,2,398.8
484,16226,2,476.96
485,20595,2,74.58
486,49987,5,234.95
487,27433,1,474.9
488,40446,4,477.85
489,6600,2,39.49
490,16645,4,85.74
491,836,2,254.23
492,31811,3,118.86
493,22477,2,240.36
494,21700,1,114.57
495,40223,2,101.54
496,3314,3,316.18
497,38644,5,344.07
498,32353,3,221.92
499,18844,1,291.62
500,36382,1,431.7
501,48482,3,221.0
502,4898,2,423.92
503,22471,4,383.84
504,39186,2,482.31
505,32517,2,119.35
506,12561,2,393.68
507,34165,3,492.79
508,35764,1,47.09
509,26850,2,59.76
510,22309,1,409.24
511,29092,2,466.91
512,2392,2,33.85
513,13058,2,416.18
514,44634,5,153.91
515,16224,1,137.44
516,13367,5,103.93
517,25596,3,314.62
518,48518,5,183.86
519,20134,2,367.29
520,35921,3,79.28
521,47138,4,323.97
522,27188,4,489.69
523,18006,1,59.51
524,18200,2,121.49
525,9954,3,188.77
526,31017,3,285.99
527,2783,4,365.28
528,45751,3,384.13
529,10844,1,295.48
530,20139,2,481.45
531,45365,2,178.88
532,39391,2,54.43
533,34071,2,136.08
534,13095,2,396.34
535,13838,4,332.76
536,34340,1,140.37
537,38838,2,14.02
538,7364,5,98.71
539,12952,4,493.41
540,16499,2,257.78
541,22775,2,180.38
542,45055,2,144.98
543,48384,4,367.48
544,20481,5,391.62
545,2120,2,32.18
546,3572,1,358.98
547,41599,1,341.83
548,1483,1,147.95
549,38819,3,87.11
550,18124,2,451.86
551,4083,3,279.82
552,39106,5,265.85
553,35105,4,373.72
554,655,4,188.58
555,2792,5,399.98
556,45975,5,461.24
557,9712,1,86.65
558,10770,3,456.67
559,16369,3,429.22
560,23809,5,490.09
561,41813,2,401.22
562,4170,1,164.82
563,10757,2,251.33
564,30926,5,315.51
565,5147,2,117.54
566,2902,1,194.44
567,38119,2,206.35
568,23896,5,411.69
569,17953,4,356.02
570,2039,3,287.29
571,17815,3,469.24
572,21658,1,45.07
573,32693,4,163.33
574,35030,3,20.57
575,27136,5,128.38
576,38711,4,40.28
577,17466,1,275.17
578,34943,4,254.08
579,10382,5,343.02
580,32603,2,182.79
581,26088,4,284.35
582,44191,2,353.1
583,16436,2,469.3
584,24824,2,160.33
585,17304,4,53.85
586,42713,4,346.45
587,34725,1,122.29
588,32788,5,210.41
589,1062,4,101.0
590,4887,2,130.27
591,2656,3,59.28
592,2419,2,324.39
593,17235,5,26.91
594,45318,5,450.72
595,12984,5,143.66
596,32002,3,315.39
597,7400,4,212.47
598,34900,4,489.93
599,20125,1,337.22
600,3085,2,198.46
601,15409,3,314.04
602,14279,2,56.78
603,21218,2,125.52
604,20179,5,198.72
605,12549,4,19.34
606,30069,3,449.17
607,28471,3,62.16
608,4334,5,101.1
609,17189,5,68.59
610,3256,1,209.55
611,45476,2,461.97
612,47421,4,142.55
613,13104,2,205.91
614,40562,1,497.97
615,49791,3,206.02
616,6733,2,343.0
617,21311,3,371.22
618,3608,2,480.63
619,46720,5,210.09
620,23829,4,140.87
621,40118,5,365.77
622,43889,1,297.11
623,10148,3,150.16
624,46345,4,455.82
625,29748,2,298.26
626,30931,5,470.19
627,17141,1,361.51
628,47585,4,13.5
629,7406,5,27.2
630,22416,5,382.68
631,27913,4,321.49
632,43343,2,228.64
633,40484,5,12.4
634,33591,1,355.2
635,39494,4,135.73
636,28751,3,65.83
637,16495,5,98.33
638,42084,2,453.86
639,49994,1,213.66
640,12205,1,276.43
641,7153,1,466.82
642,11598,4,328.34
643,32832,3,65.52
644,45251,3,122.34
645,20530,4,283.6
646,25083,5,212.01
647,39924,4,272.27
648,19279,1,416.91
649,43918,1,394.16
650,17309,5,182.76
651,14288,5,273.03
652,24811,1,91.89
653,13253,5,27.12
654,12202,3,492.65
655,43320,1,353.02
656,18840,1,246.53
657,24981,4,213.79
658,630,1,221.74
659,29393,2,371.88
660,46882,1,48.1
661,38464,5,44.01
662,8033,3,195.86
663,23771,1,260.56
664,45009,3,475.7
665,29392,1,23.06
666,41419,3,364.62
667,39100,2,166.68
668,1330,2,85.29
669,36070,4,357.5
670,49165,5,220.68
671,45179,4,381.41
672,6368,1,458.37
673,10969,1,452.69
674,13441,3,118.65
675,15750,1,486.46
676,42003,2,89.73
677,6927,5,327.08
678,14081,4,10.48
679,32856,1,365.6
680,24772,2,415.48
681,32307,1,12.21
682,48527,1,261.82
683,9966,3,22.77
684,45205,2,328.0
685,21002,3,468.5
686,42665,4,122.74
687,25231,1,193.64
688,32780,3,103.84
689,23177,4,477.97
690,27078,1,308.74
691,17837,2,219.93
692,47399,2,417.66
693,43169,1,235.99
694,10729,5,309.17
695,32183,3,23.58
696,25350,5,330.92
697,30396,5,466.48
698,3666,3,19.41
699,21493,1,43.27
700,3614,5,167.41
701,47255,1,384.27
702,11807,4,343.38
703,32294,2,114.62
704,10128,2,438.88
705,47971,1,455.22
706,5082,2,91.8
707,35071,5,61.16
708,21257,5,340.72
709,4380,4,248.37
710,42738,1,238.89
711,14582,1,470.38
712,19152,1,405.33
713,24552,5,130.31
714,5727,1,171.08
715,5322,3,140.54
716,5466,2,56.75
717,42908,5,308.59
718,41971,4,210.85
719,9249,1,178.9
720,1678,3,199.18
721,25440,4,292.21
722,6668,3,296.65
723,25835,1,93.53
724,23109,1,466.65
725,16845,4,67.52
726,36696,3,80.15
727,14091,5,249.04
728,21499,5,441.54
729,40274,1,158.66
730,41696,2,363.11
731,30445,1,403.59
732,2315,5,49.92
733,2026,4,142.82
734,21014,5,379.65
735,48610,3,212.19
736,47098,4,30.83
737,29632,3,416.89
738,18424,4,462.09
739,26908,2,448.81
740,49265,3,180.82
741,31133,3,263.38
742,19930,3,279.57
743,40744,4,352.67
744,2962,1,151.04
745,23889,1,27.14
746,31118,1,272.98
747,5986,5,419.6
748,49048,5,43.62
749,39174,3,390.25
750,35485,2,306.31
751,15657,5,89.99
752,9274,1,156.04
753,37584,4,390.2
754,47871,1,175.31
755,26947,5,495.48
756,1352,3,23.8
757,38390,4,325.81
758,15142,5,184.76
759,7092,3,442.72
760,16412,5,229.42
761,29367,3,187.29
762,30271,2,417.14
763,28902,2,394.67
764,35824,4,38.91
765,13849,1,400.85
766,25722,3,316.76
767,9994,3,247.75
768,34983,1,95.11
769,23956,4,84.29
770,43812,3,307.76
771,31547,4,269.95
772,6531,4,14.97
773,42799,3,334.02
774,48725,1,400.92
775,26497,2,298.78
776,13715,4,490.74
777,23185,2,52.0
778,34591,5,451.29
779,24975,3,346.35
780,31196,1,279.54
781,42925,2,245.82
782,34769,4,143.04
783,36117,3,473.83
784,20734,2,282.63
785,47557,4,497.41
786,40059,2,352.9
787,24361,2,202.55
788,20521,3,306.71
789,8008,3,314.7
790,17153,3,477.89
791,48281,3,492.41
792,31966,1,281.53
793,13840,2,136.48
794,45474,4,311.43
795,46861,5,173.83
796,33849,2,331.28
797,31107,2,35.81
798,28009,1,428.39
799,18050,4,248.26
800,19760,4,42.79
801,34647,5,95.64
802,45959,5,342.63
803,14463,2,332.71
804,15787,3,190.15
805,21075,1,109.23
806,38028,1,70.99
807,18842,1,14.74
808,31098,1,139.85
809,2616,2,168.53
810,1551,1,298.46
811,13002,1,377.5
812,18224,2,278.03
813,25336,1,128.5
814,41838,2,81.69
815,5342,5,241.18
816,44448,4,55.66
817,44480,5,168.2
818,8435,3,444.01
819,4224,5,419.63
820,26465,2,115.97
821,8150,2,49.52
822,29581,4,472.53
823,27674,5,380.31
824,46930,5,258.41
825,17255,4,267.24
826,8367,3,186.28
827,25405,2,64.44
828,47381,4,16.83
829,31822,1,474.93
830,31634,1,264.45
831,35918,3,399.11
832,46048,3,169.48
833,9577,5,161.25
834,32693,1,164.35
835,44081,5,226.56
836,27241,3,282.4
837,8122,4,101.65
838,34161,3,424.49
839,43670,1,246.69
840,44071,1,118.55
841,11936,3,216.11
842,21081,2,324.17
843,35059,2,181.84
844,11450,3,223.0
845,42122,5,83.17
846,16664,3,370.97
847,38912,3,121.47
848,5642,2,72.4
849,9126,2,405.35
850,47856,2,116.94
851,48289,3,131.39
852,41652,1,199.16
853,1441,1,408.45
854,19910,5,270.89
855,21982,2,460.66
856,11734,2,240.42
857,40606,4,463.08
858,41903,1,198.08
859,32192,3,304.1
860,38847,4,131.06
861,40820,2,70.4
862,5153,3,243.27
863,22468,3,42.43
864,22625,3,88.37
865,14979,3,396.58
866,36284,3,43.24
867,23046,5,499.14
868,45091,2,79.1
869,36363,2,43.99
870,22489,4,13.11
871,49951,5,317.06
872,37175,5,26.84
873,18296,4,376.47
874,8689,5,433.99
875,31875,5,400.13
876,48614,2,282.22
877,14978,5,417.95
878,9460,4,179.57
879,19714,5,12.92
880,23577,1,337.07
881,23946,3,421.79
882,8380,5,477.84
883,33198,2,174.53
884,7651,2,244.45
885,11384,1,487.87
886,46061,2,247.56
887,45611,4,471.68
888,39726,1,142.84
889,19238,1,346.97
890,15720,4,116.48
891,43051,2,223.93
892,4910,2,301.91
893,35553,3,95.42
894,32928,1,352.25
895,32797,2,241.39
896,44161,5,108.58
897,4793,3,479.69
898,39724,3,436.11
899,402,5,387.9
900,30460,5,200.67
901,30944,2,360.42
902,29015,5,423.43
903,49514,4,499.0
904,20132,2,283.81
905,15874,4,188.64
906,32812,4,39.14
907,25498,4,312.34
908,33172,3,20.84
909,1828,3,170.71
910,12327,1,264.65
911,30796,5,489.96
912,967,2,145.23
913,48060,3,136.62
914,28690,1,202.51
915,29520,1,365.28
916,9346,5,488.91
917,24797,5,405.68
918,48821,2,407.84
919,34558,4,59.2
920,15746,1,330.42
921,31658,5,126.96
922,31532,3,455.51
923,16130,5,169.0
924,28616,4,89.13
925,20616,3,172.77
926,9799,1,316.84
927,30846,4,100.71
928,16856,5,236.94
929,27529,1,32.11
930,45800,1,115.4
931,39173,4,66.69
932,1199,1,307.15
933,24391,3,329.01
934,25850,4,439.62
935,33538,5,198.73
936,10319,4,461.5
937,40704,2,329.41
938,8415,1,94.07
939,24263,5,295.61
940,13728,5,242.47
941,10316,1,240.5
942,42267,2,174.49
943,11055,3,421.12
944,40183,3,141.92
945,24564,2,454.74
946,17653,2,262.56
947,675,4,413.99
948,5927,2,236.62
949,4727,5,261.47
950,13870,5,268.59
951,48854,2,121.54
952,3472,2,85.1
953,30602,4,235.5
954,12404,3,115.7
955,49474,4,363.34
956,20266,2,237.25
957,19524,2,38.66
958,39992,2,184.62
959,21468,1,155.8
960,33692,2,132.46
961,41720,1,153.32
962,31878,3,30.34
963,44164,2,313.23
964,2379,2,144.15
965,2656,3,371.95
966,49925,3,256.11
967,41019,3,171.47
968,17874,3,125.89
969,39705,2,290.63
970,21685,3,314.23
971,46638,5,11.34
972,47904,2,122.29
973,34832,2,248.82
974,16966,2,432.52
975,45356,1,183.73
976,32623,4,198.44
977,37937,4,130.94
978,6185,1,344.84
979,49194,3,27.76
980,14466,4,495.54
981,37777,5,113.5
982,28587,1,186.71
983,36871,2,68.01
984,9501,3,303.21
985,46249,5,336.4
986,28108,2,443.61
987,5633,2,39.5
988,22190,3,454.22
989,99,1,100.12
990,30342,2,92.58
991,49513,4,129.4
992,25667,2,363.54
993,36196,4,292.36
994,44066,3,271.84
995,15137,5,123.69
996,27014,5,476.09
997,36005,3,406.28
998,44468,3,418.1
999,30845,5,70.43
1000,9610,5,178.15
1001,37457,1,426.52
1002,14562,4,125.43
1003,28337,2,112.09
1004,15821,1,267.42
1005,4006,3,322.54
1006,3948,1,357.76
1007,48305,3,336.46
1008,34961,2,13.61
1009,26981,4,283.79
1010,4222,3,440.01
1011,17152,2,389.67
1012,18595,2,290.5
1013,26991,5,294.52
1014,42074,5,450.76
1015,49806,1,479.45
1016,31165,1,353.72
1017,24374,1,264.93
1018,3197,5,192.62
1019,34640,3,389.5
1020,21039,1,409.31
1021,48305,1,154.37
1022,7736,2,203.38
1023,20414,5,452.01
1024,45074,4,214.66
1025,27875,4,58.61
1026,24928,5,95.26
1027,25677,4,349.39
1028,17433,4,45.73
1029,23328,3,225.56
1030,33168,5,387.35
1031,14077,1,423.64
1032,4419,2,192.49
1033,31061,2,302.49
1034,40498,5,297.79
1035,36627,3,368.11
1036,49218,1,403.42
1037,3527,1,94.3
1038,36699,2,178.21
1039,5858,3,426.55
1040,44877,4,200.8
1041,4134,5,118.21
1042,12815,2,274.88
1043,25647,1,451.66
1044,30062,2,125.28
1045,37445,2,364.2
1046,39639,3,343.36
1047,9060,1,315.0
1048,28179,1,34.04
1049,7190,1,463.84
1050,48927,3,379.97
1051,36285,3,303.13
1052,32263,2,147.25
1053,48791,2,127.22
1054,16110,5,348.91
1055,245,4,73.48
1056,1421,4,316.19
1057,41867,4,378.04
1058,47895,4,408.42
1059,27058,2,103.03
1060,16383,1,381.86
1061,33899,1,70.09
1062,15707,1,351.83
1063,22848,5,20.62
1064,32091,3,140.17
1065,39676,3,87.98
1066,14826,1,379.67
1067,7534,1,181.48
1068,41660,5,364.59
1069,2557,4,312.09
1070,38689,5,275.25
1071,34156,3,142.46
1072,3973,2,258.85
1073,22857,5,167.09
1074,45395,5,19.43
1075,3264,3,497.48
1076,5238,4,324.29
1077,45446,4,113.38
1078,41114,2,47.98
1079,13474,2,41.31
1080,45278,5,230.9
1081,40375,1,84.91
1082,9456,3,379.9
1083,17487,3,358.78
1084,45741,5,454.5
1085,37474,5,315.99
1086,2419,2,397.44
1087,499,5,440.09
1088,5440,4,343.49
1089,14804,5,415.43
1090,24308,4,385.89
1091,40580,1,100.97
1092,30716,2,238.74
1093,35902,4,389.1
1094,37958,5,65.82
1095,46117,3,406.99
1096,29417,1,107.07
1097,4813,1,277.67
1098,30992,5,58.32
1099,47359,2,453.97
1100,30549,2,229.38
1101,10207,3,193.28
1102,40982,2,49.77
1103,38024,3,149.48
1104,49376,2,426.97
1105,30785,5,40.19
1106,9020,5,252.26
1107,10120,4,345.7
1108,23665,2,440.3
1109,7182,4,415.67
1110,17076,4,202.45
1111,27787,3,232.39
1112,27394,5,81.35
1113,42712,4,59.43
1114,8347,3,111.59
1115,14954,2,269.3
1116,34120,1,334.74
1117,38553,2,172.6
1118,7463,4,191.54
1119,3135,1,448.55
1120,26016,4,78.13
1121,2117,4,450.27
1122,15640,2,41.31
1123,35785,5,38.71
1124,15954,3,140.62
1125,45549,5,428.77
1126,16045,2,235.73
1127,17139,5,267.58
1128,26437,4,365.54
1129,4753,2,317.11
1130,45436,2,180.7
1131,34047,2,276.31
1132,3977,1,462.26
1133,33254,4,24.86
1134,24527,5,243.95
1135,44449,4,127.89
1136,32166,4,155.32
1137,45816,1,80.13
1138,34556,2,483.07
1139,16215,3,20.94
1140,46398,2,434.78
1141,10084,5,45.29
1142,25808,2,335.03
1143,1999,3,128.16
1144,31667,4,58.38
1145,28985,1,180.93
1146,1272,5,385.39
1147,12623,2,126.56
1148,42432,3,377.17
1149,32438,5,479.01
1150,31319,4,413.53
1151,23279,3,294.74
1152,12091,5,140.01
1153,35746,5,237.16
1154,14942,4,331.24
1155,13401,5,192.21
1156,49378,3,309.5
1157,29304,3,239.58
1158,30772,3,107.04
1159,7544,4,286.13
1160,4687,2,257.95
1161,16436,1,412.07
1162,6809,3,246.24
1163,48361,5,220.13
1164,26509,5,254.42
1165,39495,4,394.27
1166,35887,4,235.65
1167,15703,3,325.89
1168,46097,5,356.89
1169,27295,2,210.6
1170,24373,3,236.03
1171,36652,4,346.8
1172,8876,3,354.62
1173,48345,3,245.1
1174,47212,5,247.49
1175,857,1,228.48
1176,10626,1,377.99
1177,22054,1,473.63
1178,49473,1,102.26
1179,28987,2,157.68
1180,29623,1,337.61
1181,42500,3,13.81
1182,14229,4,82.64
1183,15673,5,47.61
1184,5089,2,281.18
1185,23484,5,275.64
1186,5534,5,200.39
1187,31635,1,38.81
1188,40110,5,54.78
1189,11063,2,196.83
1190,23306,4,329.68
1191,23235,5,104.39
1192,8569,1,498.83
1193,36474,5,359.63
1194,38613,5,460.67
1195,6313,3,204.41
1196,46261,4,368.86
1197,41920,3,241.6
1198,25820,1,77.17
1199,32902,5,20.27
1200,23011,2,374.47
1201,38258,4,168.12
1202,17418,4,458.81
1203,41529,2,432.29
1204,30736,5,370.38
1205,19613,3,273.57
1206,14460,2,318.69
1207,14208,3,299.06
1208,5561,3,467.64
1209,19418,4,344.35
1210,13394,4,368.42
1211,36133,1,493.25
1212,33998,2,457.4
1213,46980,5,61.29
1214,19808,4,412.84
1215,17237,2,39.17
1216,21283,1,195.43
1217,47248,3,207.34
1218,47308,5,33.3
1219,28387,1,396.05
1220,36232,4,220.66
1221,46070,3,200.42
1222,14223,3,461.55
1223,18610,5,164.1
1224,13354,4,346.52
1225,9957,2,237.65
1226,14035,3,402.06
1227,46620,2,234.62
1228,13301,2,97.15
1229,18199,1,159.33
1230,8654,1,428.52
1231,34833,2,464.3
1232,26771,3,360.72
1233,23386,2,490.53
1234,30707,3,366.5
1235,28383,1,260.69
1236,28669,1,330.97
1237,7329,3,249.72
1238,21570,1,296.19
1239,7273,4,395.02
1240,11408,4,379.7
1241,5497,3,57.29
1242,16850,3,335.59
1243,16302,2,16.16
1244,1005,1,365.49
1245,25762,1,113.25
1246,38563,1,266.98
1247,44454,5,291.47
1248,303,3,68.73
