record_id,campaign_id,impressions,conversions
302,4,9982,1487
303,3,9130,1527
304,4,8154,1234
305,3,2608,1972
306,3,9019,1152
307,3,4747,1181
308,1,2909,1474
309,2,328,414
310,3,686,1350
311,2,9841,794
312,3,3449,1611
313,4,4310,1805
314,1,6737,782
315,4,6782,1690
316,2,2054,562
317,3,2797,1910
318,2,1108,1528
319,4,7241,1670
320,2,8398,1355
321,2,1811,162
322,3,3586,1273
323,1,6774,1150
324,3,5378,1757
325,2,2655,1044
326,4,3906,1695
327,4,4263,285
328,3,4832,801
329,4,5467,1957
330,2,1543,1892
331,1,4074,1762
332,2,5185,123
333,2,6440,1951
334,2,244,1445
335,3,5131,1936
336,2,8983,965
337,1,869,1564
338,4,1264,1826
339,3,1376,528
340,1,3026,1097
341,2,8748,602
342,2,9461,1868
343,4,1509,775
344,2,2021,186
345,1,3786,816
346,3,1652,1374
347,2,124,1582
348,2,5593,911
349,3,5843,308
350,4,6642,596
351,4,2867,412
352,4,9451,198
353,1,3166,160
354,3,9762,1151
355,4,9468,801
356,4,2492,1193
357,4,4487,805
358,2,811,1802
359,4,7209,1737
360,4,1411,81
361,3,6056,1842
362,3,3814,195
363,4,9604,1999
364,3,6394,1555
365,1,6343,1362
366,2,3568,1412
367,1,9471,1856
368,3,2353,312
369,1,6204,1991
370,2,9394,899
371,3,3739,53
372,2,4103,1611
373,1,4625,36
374,2,1354,511
375,2,6663,657
376,2,6867,1779
377,3,1642,312
378,3,7353,1346
379,2,4822,1354
380,4,3686,1708
381,2,8787,594
382,1,9875,1931
383,2,6386,273
384,3,8623,816
385,2,6748,642
386,1,8961,1681
387,1,6101,67
388,1,2594,607
389,3,9165,1195
390,4,9490,904
391,1,1041,369
392,2,3023,111
393,2,2905,700
394,3,5798,415
395,4,1356,1596
396,3,4916,980
397,4,5694,336
398,3,9783,699
399,4,1868,1333
400,1,222,1807
401,1,6208,724
402,1,8702,456
403,3,5646,952
404,2,4180,256
405,3,8497,950
406,3,1143,720
407,4,8004,153
408,2,5153,1504
409,1,153,1721
410,4,945,1300
411,1,9446,572
412,2,3819,1133
413,4,4147,752
414,2,3167,1541
415,4,8124,813
416,1,5071,1211
417,4,867,1181
418,2,6663,1330
419,1,5062,76
420,4,9355,611
421,2,1211,14
422,2,1909,886
423,1,5461,1343
424,1,4286,740
425,2,5834,72
426,4,2146,307
427,3,1535,174
428,4,5336,545
429,4,2194,578
430,1,5705,1953
431,3,7710,1227
432,2,2722,1034
433,4,3980,1814
434,4,2413,419
435,2,4421,347
436,3,7562,676
437,1,8864,1107
438,1,9552,757
439,3,6364,1223
440,1,4365,431
441,3,7963,348
442,1,2481,1935
443,3,2628,1565
444,1,3873,1838
445,3,9304,549
446,2,8765,1652
447,2,6273,68
448,4,4364,1135
449,4,9631,298
450,4,6082,370
451,2,9633,13
452,1,342,1755
453,3,1302,1771
454,2,8409,707
455,3,6535,1074
456,4,8086,1452
457,2,3602,1407
458,1,9238,881
459,4,1152,797
460,2,2546,1405
461,4,3289,1999
462,3,3582,327
463,1,4789,1125
464,3,5331,1602
465,4,8962,876
466,2,8493,785
467,4,3914,527
468,4,5490,21
469,3,9429,1793
470,2,3477,1612
471,3,715,1017
472,2,6351,893
473,1,9029,1647
474,1,2780,647
475,1,3777,958
476,4,1060,1554
477,3,502,455
478,3,7906,140
479,2,9857,1354
480,3,8272,1100
481,2,9087,1432
482,3,183,1603
483,4,9746,128
484,2,6601,18
485,3,5824,1371
486,2,7095,932
487,4,9665,268
488,4,8105,504
489,4,9107,1875
490,3,4737,272
491,1,8424,272
492,1,7170,144
493,1,7794,899
494,2,8057,1388
495,4,3158,1992
496,1,203,1987
497,3,4682,186
498,4,5387,1131
499,2,4127,521
500,4,1547,646
501,4,5474,467
502,1,579,1266
503,4,4581,1183
504,3,4587,1611
505,1,9782,1599
506,4,3076,876
507,2,1502,1196
508,2,4271,1470
509,2,2703,1792
510,3,3745,438
511,4,9082,870
512,4,5725,1835
513,4,5828,1258
514,2,3413,1457
515,3,4174,814
516,3,3852,443
517,4,2228,141
518,3,1492,427
519,2,2162,1629
520,2,3964,1431
521,3,5016,1783
522,3,9642,1956
523,1,8587,51
524,1,5562,198
525,2,5946,469
526,1,3896,759
527,3,5595,493
528,4,5646,25
529,4,3682,1861
530,4,5700,311
531,2,1026,1913
532,2,5072,218
533,4,853,1234
534,4,7579,361
535,2,5825,674
536,3,3041,1177
537,4,6513,1586
538,2,2494,34
539,4,1017,805
540,1,4205,1378
541,3,9507,1226
542,4,423,862
543,4,4409,349
544,1,9742,364
545,4,8716,1185
546,1,1857,1960
547,1,7419,1555
548,4,6127,1934
549,2,7179,300
550,3,6237,601
551,4,9183,840
552,1,7524,533
553,4,5389,179
554,2,2278,561
555,4,8631,471
556,4,4061,662
557,4,7340,1190
558,3,1525,874
559,3,2817,1767
560,4,9543,169
561,4,3104,1059
562,3,4079,133
563,2,1546,397
564,3,6523,1894
565,2,5258,640
566,1,3256,297
567,3,5386,1807
568,3,1413,862
569,1,7945,1692
570,2,1651,1572
571,3,3945,1896
572,4,8914,1693
573,2,5276,1643
574,4,2372,1255
575,3,3801,935
576,2,7290,87
577,1,5782,1806
578,2,9237,1188
579,1,4754,1412
580,4,9616,728
581,4,6140,323
582,3,3462,887
583,2,7682,926
584,1,8114,1229
585,4,3135,1639
586,2,7838,269
587,4,7404,1309
588,1,7221,1690
589,3,9544,1809
590,2,6042,1919
591,1,4144,1750
592,3,7603,1203
593,3,6370,1024
594,4,2038,996
595,3,3133,445
596,4,602,645
597,3,5187,1577
598,1,9119,1011
599,1,386,186
600,1,840,1097
601,3,6856,1830
602,3,7691,1790
603,3,8076,538
604,3,4727,1121
605,2,7827,226
606,3,1278,1089
607,3,2159,694
608,2,9654,420
609,2,4527,421
610,2,3985,858
611,4,5108,752
612,3,143,1131
613,4,5516,200
614,4,1118,674
615,4,237,1196
616,1,5085,1915
617,3,6138,384
618,1,1341,746
619,3,7983,1131
620,1,5411,369
621,2,6103,1825
622,1,7482,116
623,1,6056,240
624,1,4079,866
625,2,9391,1359
626,4,8894,934
627,4,7006,830
628,1,9218,262
629,1,4898,1117
630,3,4934,399
631,1,7430,818
632,1,896,266
633,3,2509,1102
634,4,8247,1347
635,2,7587,1369
636,2,6845,151
637,1,9143,439
638,2,2485,600
639,1,3155,987
640,4,9804,1252
641,3,8444,1875
642,3,1903,208
643,1,9250,453
644,4,549,1859
645,1,8794,1342
646,4,2885,1261
647,2,567,962
648,2,2167,179
649,1,8021,1004
650,1,211,1174
651,3,438,1020
652,1,5287,523
653,2,1129,596
654,4,9221,588
655,1,2645,1379
656,1,4834,1538
657,3,5308,166
658,4,2535,646
659,1,9215,1834
660,4,9343,812
661,2,2519,148
662,2,2903,460
663,4,4914,508
664,4,9742,858
665,1,3514,320
666,1,8339,717
667,2,9979,1902
668,1,6882,725
669,1,9043,1481
670,1,2737,1598
671,4,7641,860
672,1,321,278
673,3,5247,1393
674,3,3997,468
675,1,8629,748
676,3,9747,1963
677,3,6267,1255
678,1,4056,581
679,2,8090,954
680,1,6864,1089
681,4,1892,162
682,1,5438,1287
683,4,5107,1428
684,1,1354,774
685,2,7339,1607
686,1,8967,1464
687,1,2270,123
688,2,4560,794
689,2,8693,1862
690,4,8719,640
691,1,7153,1283
692,3,3087,1662
693,2,5553,57
694,4,9639,102
695,4,1468,316
696,2,3809,253
697,1,7488,689
698,4,853,1015
699,4,8172,628
700,1,1208,1298
701,4,1125,183
702,2,1175,1361
703,2,8904,1337
704,4,504,1575
705,1,2981,1598
706,1,8275,1822
707,1,2518,1846
708,2,8587,1800
709,4,9768,1511
710,3,4183,114
711,2,542,651
712,3,494,631
713,2,223,1326
714,1,6213,659
715,3,1446,464
716,3,6284,1974
717,4,2510,1102
718,4,5915,766
719,2,9201,26
720,2,725,1080
721,3,2233,1859
722,1,9599,1670
723,1,7402,319
724,3,8759,533
725,2,8559,422
726,3,722,693
727,3,3641,1695
728,1,7046,20
729,4,9460,1490
730,4,5668,275
731,3,8000,1028
732,4,6970,469
733,1,6867,86
734,4,6981,1197
735,2,8790,1431
736,1,4867,582
737,2,8099,347
738,2,2761,1170
739,1,8219,1645
740,2,7621,228
741,1,7897,892
742,3,9242,932
743,4,8954,1609
744,4,2282,308
745,1,4672,886
746,3,5137,16
747,4,601,40
748,2,7371,1226
749,3,1787,1178
750,1,9268,958
751,3,8705,101
752,2,4865,1015
753,1,796,746
754,2,9484,494
755,2,3411,1449
756,3,4399,1239
757,1,6665,1580
758,2,9155,624
759,1,2352,1159
760,3,1112,1362
761,2,6477,294
762,4,6566,598
763,4,5659,281
764,1,7388,1914
765,3,763,489
766,4,9506,1025
767,3,7248,1755
768,2,1312,1543
769,4,4066,320
770,1,7072,1716
771,3,4568,449
772,3,4216,1810
773,4,9684,1165
774,1,2235,1778
775,2,425,1253
776,2,269,1091
777,2,2821,1963
778,2,203,110
779,4,5598,736
780,3,5728,653
781,1,6533,454
782,4,6126,1992
783,3,5689,546
784,2,946,1524
785,2,9268,1556
786,2,4873,455
787,3,5911,1342
788,4,6708,463
789,4,9064,1826
790,2,9336,1854
791,2,9709,535
792,3,733,1667
793,1,5290,1567
794,4,8450,158
795,2,8087,1725
796,4,2499,1281
797,2,7988,797
798,3,6358,1759
799,4,5397,953
800,3,4912,372
801,3,2654,225
802,2,2618,1776
803,1,7095,501
804,4,7933,499
805,2,5109,834
806,3,5646,1081
807,2,3466,318
808,1,3582,992
809,1,768,840
810,4,9176,757
811,3,2012,1913
812,4,7708,1487
813,4,9493,1627
814,2,4928,209
815,2,2243,67
816,4,7570,1515
817,1,8995,1043
818,2,5592,1996
819,1,4478,521
820,4,881,1660
821,2,954,254
822,3,8934,1378
823,1,7684,948
824,2,7725,1781
825,4,8285,335
826,2,5428,1591
827,2,3807,1440
828,2,8473,1984
829,4,7212,89
830,1,6253,811
831,2,5275,1316
832,3,577,1805
833,1,9659,871
834,1,4463,493
835,4,5744,1281
836,1,3092,1471
837,1,242,1147
838,4,4824,1605
839,1,8603,1230
840,3,8728,312
841,3,5601,1070
842,2,4798,514
843,2,7799,60
844,1,8065,126
845,2,9634,1362
846,2,4744,88
847,2,3204,1135
848,3,1994,879
849,3,5497,1873
850,1,8337,619
851,2,8000,1781
852,2,495,1115
853,1,5798,813
854,3,7012,1771
855,3,2095,986
856,1,3136,1248
857,4,4154,1220
858,3,2612,260
859,2,4786,508
860,3,8689,1237
861,1,3602,1852
862,4,1079,18
863,4,4402,1703
864,2,8248,1864
865,1,6542,473
866,1,3987,412
867,4,1859,165
868,3,1729,972
869,2,7998,1106
870,2,675,152
871,2,8699,836
872,2,130,421
873,1,5260,11
874,3,7335,1542
875,1,5517,194
876,2,9226,464
877,3,4873,1074
878,2,1574,90
879,1,3643,1891
880,3,6970,845
881,3,4071,1604
882,4,9127,584
883,1,9234,1586
884,3,8184,1711
885,3,5198,1588
886,2,9415,1792
887,4,3830,537
888,3,8167,123
889,4,7449,200
890,1,4396,1550
891,1,491,496
892,4,186,342
893,2,5276,560
894,2,4106,726
895,1,8728,1671
896,3,2064,1804
897,1,3406,273
898,4,1345,299
899,1,854,1438
900,2,353,365
901,1,1144,267
902,2,1551,674
903,3,7941,869
904,1,6267,823
905,1,2889,1957
906,1,4946,874
907,4,3218,26
908,1,8163,312
909,2,4980,227
910,1,5321,1401
911,2,272,1717
912,3,7674,1905
913,3,8275,1681
914,1,1123,1047
915,3,8108,1882
916,2,7844,1333
917,4,5241,1206
918,3,5451,1297
919,4,6107,548
920,4,8237,571
921,4,8708,562
922,2,8051,1905
923,2,4675,266
924,3,4540,1668
925,3,5673,262
926,3,6031,1369
927,1,2522,1868
928,4,6872,171
929,3,5120,689
930,2,303,1130
931,4,9330,1821
932,3,1935,171
933,1,5590,1245
934,2,5173,338
935,2,8843,1625
936,4,2123,94
937,1,7585,455
938,1,3514,1111
939,1,9537,644
940,4,4895,458
941,4,6614,14
942,1,8156,1506
943,1,3944,1154
944,2,3973,1113
945,2,6061,1510
946,1,5051,384
947,2,9809,753
948,4,8544,230
949,1,8650,494
950,3,9261,528
951,1,1655,688
952,2,2095,1249
953,3,2076,1076
954,1,9184,1738
955,3,9737,1917
956,2,3043,246
957,2,9238,78
958,3,9012,1219
959,4,9560,1744
960,3,3170,811
961,3,1675,85
962,2,2844,1611
963,2,582,352
964,4,3243,656
965,3,8117,1975
966,2,7288,1036
967,1,8810,780
968,2,3621,1217
969,3,1320,32
970,2,9198,276
971,3,707,171
972,4,3669,1017
973,2,3919,1536
974,3,2874,393
975,1,9575,1574
976,1,2545,1443
977,1,8765,1405
978,3,1499,999
979,2,5914,1523
980,2,986,320
981,3,3900,1581
982,2,6319,283
983,3,8496,1179
984,1,7802,756
985,2,1328,55
986,2,9626,1640
987,1,6764,422
988,4,1123,367
989,4,7053,1776
990,3,1456,1223
991,3,9039,1064
992,4,1476,573
993,2,3581,1252
994,4,2593,964
995,1,7366,1374
996,3,9264,1203
997,2,729,1440
998,2,3667,1578
999,3,9086,771
1000,4,9572,332
1001,1,8754,406
1002,4,4216,192
1003,1,7221,1676
1004,1,8238,781
1005,3,804,941
1006,4,7732,83
1007,2,7195,885
1008,2,4073,890
1009,3,1794,1528
1010,1,4942,1407
1011,2,6811,296
1012,4,3738,653
1013,4,3602,604
1014,1,2931,1130
1015,4,1939,1667
1016,4,6502,1790
1017,4,7862,1252
1018,1,6682,209
1019,3,8937,81
1020,3,7763,313
1021,1,1812,1527
1022,2,7219,1284
1023,4,974,176
1024,1,7770,1271
1025,4,5861,946
1026,2,1536,1556
1027,4,9154,1220
1028,4,7549,1148
1029,2,8977,1474
1030,1,2306,686
1031,2,8092,1835
1032,1,6067,270
1033,2,2047,817
1034,4,2671,1439
1035,3,1557,1196
1036,1,8970,737
1037,3,2188,528
1038,3,5809,1927
1039,2,7497,1645
1040,1,9581,1679
1041,1,7560,1539
1042,3,4435,244
1043,1,8793,364
1044,1,3136,634
1045,3,6581,188
1046,4,6844,605
1047,1,4856,1454
1048,2,9976,1898
1049,4,8595,407
1050,2,9206,1715
1051,1,4713,1456
1052,2,3490,847
1053,1,3416,1179
1054,3,7947,320
1055,2,6295,1494
1056,4,3887,524
1057,4,9569,1162
1058,2,7847,413
1059,3,5814,1272
1060,2,8567,462
1061,2,4686,1676
1062,2,8345,432
1063,2,6778,1235
1064,3,464,535
1065,2,4991,472
1066,2,899,453
1067,2,4068,1135
1068,1,1779,1950
1069,3,8540,1691
1070,2,7794,866
1071,4,3590,1039
1072,4,2043,361
1073,4,8436,808
1074,3,1611,359
1075,4,1876,793
1076,1,184,697
1077,3,6458,715
1078,1,8668,1721
1079,3,4359,1525
1080,3,4613,505
1081,3,6333,1164
1082,3,2693,700
1083,2,1496,303
1084,1,5662,1871
1085,2,3030,1402
1086,2,6293,1609
1087,1,6983,959
1088,3,7420,358
1089,1,3827,854
1090,2,6543,1810
1091,1,964,516
1092,3,7470,1645
1093,3,9513,1739
1094,3,114,795
1095,4,9088,1221
1096,3,485,1775
1097,4,9401,1852
1098,2,6800,431
1099,3,1425,482
1100,3,3301,545
1101,1,5312,122
1102,2,7200,1403
1103,1,6679,1804
1104,4,5171,31
1105,3,8858,103
1106,1,9611,1864
1107,2,3340,1188
1108,2,6094,253
1109,1,9193,1817
1110,1,1010,1957
1111,3,2897,737
1112,1,7216,596
1113,4,4668,575
1114,1,3284,1197
1115,3,1587,1193
1116,1,1684,645
1117,1,8471,200
1118,4,5946,425
1119,2,5489,371
1120,2,2752,1058
1121,3,5085,1460
1122,3,2736,607
1123,1,9136,351
1124,2,8356,1194
1125,4,3083,1205
1126,3,435,190
1127,3,5631,551
1128,2,5035,1855
1129,2,1394,322
1130,2,8542,1660
1131,1,2712,1686
1132,4,6742,205
1133,2,2808,180
1134,4,879,202
1135,3,7308,29
1136,1,8862,1934
1137,2,1691,1249
1138,3,8449,1996
1139,1,5032,165
1140,1,5546,1499
1141,4,1724,822
1142,1,1407,226
1143,4,2366,1364
1144,1,7621,1312
1145,4,1631,589
1146,4,8632,521
1147,4,6348,1330
1148,1,4780,640
1149,4,7538,1359
1150,2,8909,600
1151,3,3987,1597
1152,3,7534,1582
1153,3,113,747
1154,2,1349,1277
1155,3,2731,65
1156,2,3477,735
1157,1,9344,164
1158,4,6190,1185
1159,4,7279,1674
1160,1,5256,761
1161,2,1816,1700
1162,1,4297,1467
1163,4,492,486
1164,1,6104,146
1165,2,7727,1087
1166,4,5702,186
1167,3,3755,756
1168,4,6863,663
1169,4,6441,902
1170,4,4281,1997
1171,4,4092,377
1172,4,4033,81
1173,2,6789,1032
1174,2,2752,1142
1175,3,4496,842
1176,1,984,1014
1177,3,7425,171
1178,1,7402,625
1179,4,118,1497
1180,4,9683,1916
1181,4,711,128
1182,3,2760,33
1183,3,6534,374
1184,3,7799,1341
1185,1,3152,1663
1186,1,2395,1860
1187,3,1035,607
1188,2,893,307
1189,3,2328,1272
1190,3,5063,1481
1191,1,9817,593
1192,3,2307,945
1193,2,4565,1421
1194,2,4409,1935
1195,2,8765,1319
1196,3,8964,1429
1197,1,4409,1924
1198,2,9531,1721
1199,1,5304,727
1200,1,7581,74
1201,1,9211,1314
1202,1,4838,1216
1203,2,4979,1649
1204,4,3541,1174
1205,3,347,1260
1206,2,9367,404
1207,2,9880,1455
1208,4,1545,782
1209,1,9562,1142
1210,3,3439,984
1211,4,2223,360
1212,2,6132,854
1213,1,2736,514
1214,2,9824,1110
1215,1,3531,1863
1216,1,7746,1534
1217,1,6549,1542
1218,4,6172,420
1219,2,398,161
1220,2,6867,125
1221,1,1236,1332
1222,1,3840,405
1223,1,4777,1079
1224,3,5765,57
1225,4,2781,834
1226,1,6439,958
1227,1,575,695
1228,3,5393,254
1229,4,6731,265
1230,4,8681,884
1231,3,3885,1331
1232,1,9125,1522
1233,1,3519,554
1234,2,4198,1142
1235,2,6302,799
1236,4,8816,1053
1237,2,7774,1397
1238,2,7862,655
1239,2,3970,1589
1240,3,6343,1606
1241,4,1973,1549
1242,3,1317,1689
1243,2,853,367
1244,2,3589,823
1245,2,2500,1275
1246,3,7896,1570
1247,1,5113,1845
1248,4,3667,1880
1249,4,9648,603
1250,4,4901,1237
1251,4,1808,1756
1252,4,6807,1377
1253,1,2920,1085
1254,4,5504,1710
1255,1,2605,925
1256,2,2163,266
1257,4,3315,397
1258,1,4196,513
1259,1,565,1992
1260,1,5210,1643
1261,2,9867,1960
1262,2,5566,703
1263,1,654,1424
1264,2,1901,576
1265,4,706,965
1266,3,9521,723
1267,4,6463,1595
1268,2,9759,335
1269,2,848,866
1270,4,6808,211
1271,3,4369,1009
1272,4,4776,51
1273,4,7752,1429
1274,4,1012,78
1275,1,303,187
1276,2,9965,338
1277,2,1536,1890
1278,3,444,1938
1279,2,1531,1982
1280,4,9309,167
1281,2,7513,527
1282,2,3471,1363
1283,3,8188,1297
1284,1,6025,760
1285,3,9094,206
1286,1,7488,642
1287,4,3338,1425
1288,4,2177,489
1289,2,3655,1891
1290,4,2395,1306
1291,1,3546,1720
1292,4,5227,565
1293,2,6475,1303
1294,4,7859,759
1295,3,6393,1017
1296,2,8572,1614
1297,3,2110,651
1298,4,9397,671
1299,2,547,1734
1300,4,2561,1669
1301,4,5692,46
1302,3,9325,1024
1303,1,7363,1568
1304,4,3820,1325
1305,2,2026,1176
1306,2,6321,1699
1307,1,984,94
1308,3,1560,1974
1309,1,3501,1905
1310,2,4903,444
1311,3,4777,40
1312,1,6983,516
1313,3,5159,403
1314,4,9026,417
1315,4,2076,1744
1316,1,5311,749
1317,2,962,1852
1318,2,2283,127
1319,2,5050,1814
1320,3,7853,766
1321,3,6602,1763
1322,1,3722,1695
1323,3,5587,619
1324,1,5419,1446
1325,2,664,102
1326,3,7830,276
1327,1,3252,360
1328,4,2457,743
1329,2,6520,603
1330,1,6304,132
1331,2,7067,1439
1332,3,5367,956
1333,3,2345,62
1334,2,5857,551
1335,1,6804,1008
1336,4,1992,360
1337,1,2524,1159
1338,2,2175,49
1339,2,1682,1817
1340,3,7987,1861
1341,4,2093,711
1342,4,5170,763
1343,4,1420,1123
1344,3,4457,1146
1345,1,3619,16
1346,2,4599,1055
1347,2,1705,267
1348,3,5341,1416
1349,1,4888,1777
1350,2,8436,354
1351,3,5406,59
1352,4,2662,1734
1353,2,3414,1676
1354,2,7745,236
1355,3,3931,1874
1356,2,6704,1219
1357,3,9635,1070
1358,4,6457,806
1359,2,5359,1712
1360,4,5175,168
1361,2,4428,1628
1362,1,4789,164
1363,4,1697,554
1364,2,2989,1141
1365,3,5444,795
1366,2,9058,1776
1367,1,2303,1944
1368,4,678,1610
1369,3,7329,865
1370,4,1049,298
1371,1,1944,1901
1372,2,933,1125
1373,2,339,287
1374,4,6573,561
1375,4,1418,1842
1376,4,2521,1933
1377,2,9285,1195
1378,4,2048,571
1379,4,2475,498
1380,4,7485,889
1381,3,464,1849
1382,2,1514,1582
1383,3,308,1915
1384,2,4333,1721
1385,2,8581,1884
1386,1,1330,1344
1387,2,999,409
1388,2,2869,1935
1389,1,6359,361
1390,4,1508,630
1391,2,5983,1364
1392,3,2807,1719
1393,1,1585,200
1394,4,6816,1112
1395,2,2624,1543
1396,3,1145,1692
1397,2,9497,732
1398,2,805,892
1399,1,4060,1691
1400,4,6573,1159
1401,1,5278,458
1402,2,980,1277
1403,3,638,1841
1404,1,6322,662
1405,1,8879,1633
1406,4,9311,982
1407,3,5201,505
1408,3,6884,678
1409,4,7142,1861
1410,1,5744,567
1411,1,5635,1561
1412,3,6586,1677
1413,2,8368,758
1414,1,2021,452
1415,1,5087,160
1416,2,8882,1952
1417,4,8737,1786
1418,2,2907,937
1419,3,4703,994
1420,1,857,1570
1421,2,3074,889
1422,3,7594,140
1423,1,4370,1622
1424,2,3717,1268
1425,3,6078,1411
1426,1,644,1847
1427,2,7487,851
1428,3,7398,466
1429,1,9218,91
1430,1,7412,639
1431,4,8534,1512
1432,3,1257,984
1433,4,945,746
1434,2,1314,289
1435,1,9342,1639
1436,3,6042,1763
1437,2,5181,1383
1438,2,3069,1608
