customer_id,gender,age,customer_segment
259,M,44,Premium
260,F,32,Family
261,M,19,Youth
262,F,70,Enterprise
263,F,19,Family
264,F,69,Premium
265,M,35,Premium
266,M,53,Family
267,M,48,Youth
268,M,33,Youth
269,M,19,Family
270,M,34,Enterprise
271,F,27,Premium
272,M,56,Family
273,F,59,Family
274,M,40,Enterprise
275,M,25,Family
276,F,20,Premium
277,M,68,Enterprise
278,F,63,Youth
279,M,52,Premium
280,F,31,Enterprise
281,M,40,Youth
282,F,70,Youth
283,F,44,Youth
284,M,69,Enterprise
285,M,69,Premium
286,F,69,Premium
287,M,20,Family
288,M,67,Youth
289,M,31,Family
290,M,57,Premium
291,M,59,Enterprise
292,M,19,Premium
293,F,23,Youth
294,M,33,Family
295,M,39,Premium
296,M,52,Youth
297,M,20,Youth
298,F,27,Youth
299,F,31,Enterprise
300,F,18,Enterprise
301,M,65,Youth
302,F,70,Enterprise
303,F,55,Enterprise
304,M,69,Family
305,M,24,Premium
306,M,55,Premium
307,M,57,Premium
308,M,18,Family
309,F,37,Enterprise
310,F,24,Premium
311,F,38,Premium
312,M,58,Enterprise
313,F,54,Youth
314,M,23,Premium
315,M,34,Enterprise
316,F,23,Youth
317,F,62,Premium
318,F,61,Premium
319,M,60,Family
320,M,49,Family
321,F,45,Youth
322,F,49,Family
323,M,66,Family
324,M,70,Premium
325,F,33,Youth
326,M,39,Premium
327,M,60,Enterprise
328,M,66,Premium
329,M,41,Youth
330,M,46,Youth
331,F,30,Premium
332,F,48,Enterprise
333,F,56,Premium
334,M,61,Enterprise
335,F,63,Youth
336,F,43,Premium
337,M,53,Enterprise
338,F,69,Premium
339,M,28,Family
340,M,65,Premium
341,F,53,Enterprise
342,M,23,Premium
343,M,62,Premium
344,M,26,Premium
345,M,45,Family
346,M,33,Youth
347,F,38,Enterprise
348,M,41,Premium
349,F,21,Premium
350,F,63,Family
351,M,31,Family
352,F,26,Family
353,F,29,Youth
354,F,32,Family
355,F,47,Enterprise
356,M,29,Family
357,F,39,Enterprise
358,F,40,Family
359,M,25,Youth
360,M,46,Enterprise
361,F,29,Family
362,F,20,Premium
363,F,45,Enterprise
364,M,25,Youth
365,M,63,Youth
366,M,28,Premium
367,F,38,Family
368,M,38,Premium
369,F,50,Enterprise
370,M,27,Family
371,M,39,Premium
372,F,48,Premium
373,F,67,Premium
374,F,64,Enterprise
375,F,28,Enterprise
376,M,31,Premium
377,F,69,Youth
378,M,52,Youth
379,F,58,Enterprise
380,M,46,Premium
381,M,70,Youth
382,M,23,Enterprise
383,M,21,Enterprise
384,M,42,Premium
385,M,43,Youth
386,M,29,Youth
387,F,35,Family
388,M,34,Enterprise
389,F,57,Premium
390,M,59,Family
391,F,52,Premium
392,M,70,Youth
393,F,21,Premium
394,M,42,Enterprise
395,F,34,Enterprise
396,F,66,Enterprise
397,M,39,Enterprise
398,F,21,Premium
399,M,54,Family
400,F,31,Family
401,F,50,Enterprise
402,M,59,Family
403,M,37,Premium
404,F,52,Premium
405,F,70,Youth
406,M,52,Premium
407,M,60,Premium
408,M,62,Family
409,F,51,Enterprise
410,F,51,Family
411,F,33,Enterprise
412,M,22,Premium
413,F,23,Family
414,F,32,Family
415,F,47,Enterprise
416,M,48,Enterprise
417,F,60,Enterprise
418,F,63,Youth
419,M,26,Premium
420,F,42,Enterprise
421,F,63,Premium
422,F,57,Enterprise
423,M,57,Youth
424,M,43,Premium
425,F,58,Youth
426,F,39,Premium
427,F,20,Premium
428,M,33,Youth
429,F,68,Youth
430,F,25,Premium
431,M,66,Premium
432,M,46,Youth
433,F,29,Premium
434,F,24,Youth
435,M,53,Enterprise
436,F,66,Premium
437,M,60,Family
438,M,63,Youth
439,F,46,Youth
440,F,64,Enterprise
441,F,19,Enterprise
442,F,65,Premium
443,F,34,Youth
444,M,69,Premium
445,F,35,Enterprise
446,M,21,Premium
447,F,68,Enterprise
448,M,39,Premium
449,M,61,Premium
450,M,60,Family
451,M,38,Premium
452,M,45,Youth
453,M,63,Enterprise
454,F,43,Enterprise
455,F,54,Family
456,F,51,Enterprise
457,F,55,Premium
458,F,53,Family
459,M,20,Youth
460,F,30,Youth
461,F,63,Premium
462,F,18,Enterprise
463,M,61,Youth
464,F,29,Premium
465,M,34,Family
466,M,54,Youth
467,F,33,Enterprise
468,F,64,Premium
469,M,69,Family
470,M,58,Youth
471,M,47,Youth
472,F,33,Premium
473,F,55,Youth
474,F,53,Premium
475,M,40,Youth
476,M,67,Youth
477,F,27,Youth
478,M,69,Family
479,F,57,Family
480,F,54,Premium
481,M,22,Youth
482,F,59,Family
483,F,56,Enterprise
484,F,52,Family
485,F,38,Youth
486,M,69,Enterprise
487,M,54,Premium
488,M,41,Premium
489,M,19,Enterprise
490,F,29,Enterprise
491,M,36,Premium
492,F,49,Enterprise
493,F,59,Family
494,F,24,Premium
495,M,33,Youth
496,M,26,Premium
497,M,24,Enterprise
498,F,40,Family
499,M,38,Premium
500,F,32,Youth
501,M,44,Enterprise
502,M,37,Enterprise
503,M,23,Family
504,M,63,Premium
505,F,29,Family
506,M,68,Family
507,F,29,Youth
508,M,69,Premium
509,F,51,Family
510,F,20,Youth
511,M,47,Youth
512,M,68,Youth
513,M,40,Enterprise
514,F,19,Premium
515,M,49,Youth
516,F,53,Family
517,M,60,Youth
518,M,50,Youth
519,F,46,Premium
520,M,65,Youth
521,M,66,Enterprise
522,F,65,Youth
523,M,18,Youth
524,M,21,Premium
525,F,36,Enterprise
526,F,48,Enterprise
527,M,70,Premium
528,M,38,Family
529,M,63,Family
530,M,56,Enterprise
531,F,26,Family
532,F,36,Enterprise
533,M,35,Premium
534,M,21,Youth
535,M,28,Family
536,M,54,Premium
537,F,46,Enterprise
538,F,47,Family
539,F,26,Enterprise
540,F,70,Enterprise
541,M,48,Premium
542,M,65,Youth
543,M,35,Premium
544,F,18,Premium
545,M,55,Premium
546,F,56,Youth
547,M,69,Enterprise
548,F,63,Premium
549,F,49,Family
550,F,21,Family
551,F,62,Premium
552,M,46,Youth
553,F,58,Premium
554,F,26,Family
555,F,55,Family
556,F,57,Family
557,F,57,Youth
558,F,18,Premium
559,F,53,Premium
560,F,31,Youth
561,M,53,Youth
562,F,31,Premium
563,M,70,Premium
564,F,52,Youth
565,F,30,Premium
566,F,60,Enterprise
567,F,61,Youth
568,M,26,Enterprise
569,M,45,Premium
570,F,31,Family
571,M,64,Youth
572,F,27,Youth
573,F,70,Youth
574,F,33,Premium
575,F,22,Premium
576,F,64,Family
577,F,56,Family
578,M,19,Youth
579,F,56,Youth
580,M,49,Youth
581,M,37,Enterprise
582,F,43,Enterprise
583,M,29,Family
584,M,30,Premium
585,F,61,Premium
586,M,37,Youth
587,F,33,Premium
588,F,52,Premium
589,M,23,Premium
590,F,19,Premium
591,F,67,Premium
592,F,33,Premium
593,F,27,Premium
594,M,47,Premium
595,F,23,Premium
596,F,41,Enterprise
597,M,24,Family
598,F,23,Family
599,M,64,Enterprise
600,F,38,Premium
601,F,19,Enterprise
602,M,51,Youth
603,M,43,Enterprise
604,M,39,Family
605,M,37,Enterprise
606,F,64,Family
607,F,30,Family
608,M,62,Youth
609,F,53,Youth
610,F,34,Family
611,F,35,Premium
612,M,35,Youth
613,F,45,Premium
614,M,54,Enterprise
615,F,24,Enterprise
616,M,45,Premium
617,M,67,Family
618,M,47,Premium
619,F,57,Youth
620,M,59,Premium
621,F,51,Enterprise
622,F,52,Premium
623,F,57,Enterprise
624,M,25,Enterprise
625,F,53,Family
626,F,24,Premium
627,M,48,Youth
628,M,51,Enterprise
629,F,48,Youth
630,M,58,Youth
631,F,44,Youth
632,F,21,Enterprise
633,F,59,Family
634,F,67,Youth
635,F,20,Family
636,M,39,Premium
637,F,49,Family
638,M,55,Family
639,F,29,Family
640,F,69,Family
641,F,40,Youth
642,M,57,Family
643,M,45,Enterprise
644,F,20,Enterprise
645,F,43,Family
646,F,42,Enterprise
647,F,66,Premium
648,F,54,Premium
649,M,34,Youth
650,F,18,Enterprise
651,F,37,Youth
652,M,31,Enterprise
653,M,24,Youth
654,M,60,Youth
655,M,65,Youth
656,M,37,Premium
657,M,28,Enterprise
658,F,37,Youth
659,M,64,Premium
660,F,45,Youth
661,M,34,Family
662,M,61,Youth
663,F,36,Youth
664,F,37,Enterprise
665,M,69,Premium
666,M,18,Enterprise
667,F,68,Enterprise
668,F,50,Enterprise
669,M,58,Enterprise
670,F,42,Enterprise
671,M,34,Youth
672,M,42,Family
673,F,59,Premium
674,F,41,Premium
675,M,28,Family
676,F,50,Enterprise
677,M,46,Enterprise
678,M,65,Youth
679,M,48,Premium
680,M,63,Enterprise
681,F,40,Youth
682,M,26,Premium
683,F,65,Premium
684,M,37,Youth
685,M,53,Youth
686,F,31,Youth
687,M,20,Enterprise
688,M,53,Enterprise
689,M,51,Youth
690,M,29,Enterprise
691,F,57,Family
692,M,22,Premium
693,M,68,Youth
694,M,46,Enterprise
695,F,25,Youth
696,F,18,Family
697,M,40,Premium
698,M,48,Premium
699,F,21,Family
700,F,39,Family
701,F,28,Family
702,M,36,Family
703,M,18,Premium
704,F,58,Premium
705,M,64,Premium
706,M,70,Premium
707,F,55,Family
708,F,39,Family
709,M,53,Youth
710,F,24,Premium
711,M,39,Family
712,F,41,Enterprise
713,M,54,Enterprise
714,M,56,Family
715,M,34,Premium
716,M,39,Youth
717,F,57,Family
718,F,67,Enterprise
719,M,48,Youth
720,F,58,Family
721,M,49,Family
722,F,52,Premium
723,M,28,Youth
724,M,59,Enterprise
725,M,67,Premium
726,M,64,Enterprise
727,M,49,Premium
728,F,65,Enterprise
729,F,69,Family
730,F,49,Family
731,F,24,Youth
732,F,40,Youth
733,F,22,Enterprise
734,F,69,Youth
735,M,52,Family
736,M,21,Enterprise
737,M,59,Youth
738,F,27,Premium
739,M,49,Youth
740,F,53,Enterprise
741,M,30,Youth
742,F,21,Enterprise
743,F,44,Premium
744,M,67,Family
745,M,25,Youth
746,F,19,Family
747,M,18,Family
748,M,54,Youth
749,M,25,Premium
750,M,63,Premium
751,F,43,Enterprise
752,F,37,Family
753,M,24,Premium
754,F,45,Youth
755,M,52,Family
756,M,63,Youth
757,F,20,Premium
758,F,38,Premium
759,M,30,Enterprise
760,F,47,Family
761,M,63,Enterprise
762,M,46,Youth
763,F,30,Family
764,F,55,Premium
765,F,43,Family
766,M,52,Premium
767,F,59,Enterprise
768,M,42,Youth
769,M,40,Enterprise
770,F,69,Premium
771,F,44,Premium
772,M,38,Family
773,M,33,Premium
774,F,64,Enterprise
775,F,29,Premium
776,F,51,Family
777,F,47,Youth
778,M,24,Enterprise
779,M,48,Enterprise
780,F,25,Premium
781,M,30,Youth
782,F,48,Youth
783,F,62,Enterprise
784,F,37,Enterprise
785,M,30,Family
786,M,36,Youth
787,F,36,Family
788,M,68,Youth
789,M,61,Premium
790,F,27,Premium
791,F,22,Family
792,F,52,Family
793,M,38,Family
794,M,46,Family
795,M,55,Premium
796,F,33,Enterprise
797,M,38,Enterprise
798,F,29,Enterprise
799,F,29,Premium
800,M,63,Enterprise
801,M,40,Family
802,M,54,Premium
803,M,49,Premium
804,M,27,Youth
805,F,57,Enterprise
806,M,22,Enterprise
807,F,33,Enterprise
808,F,60,Family
809,F,61,Enterprise
810,M,19,Youth
811,F,59,Youth
812,F,41,Youth
813,F,38,Enterprise
814,M,61,Family
815,F,36,Premium
816,F,41,Youth
817,F,18,Enterprise
818,M,52,Premium
819,F,64,Youth
820,M,24,Premium
821,M,39,Enterprise
822,F,34,Premium
823,F,26,Youth
824,F,49,Family
825,F,65,Enterprise
826,F,37,Family
827,F,21,Family
828,M,68,Enterprise
829,F,63,Family
830,F,40,Youth
831,M,39,Youth
832,F,70,Enterprise
833,M,56,Youth
834,F,34,Youth
835,F,22,Enterprise
836,M,24,Family
837,M,69,Premium
838,F,30,Family
839,M,54,Family
840,M,69,Youth
841,F,45,Premium
842,M,57,Enterprise
843,M,64,Family
844,M,52,Youth
845,M,59,Enterprise
846,M,43,Family
847,M,47,Premium
848,M,38,Family
849,F,62,Enterprise
850,F,31,Premium
851,F,34,Enterprise
852,M,33,Family
853,F,30,Youth
854,F,23,Family
855,F,27,Premium
856,M,45,Youth
857,F,48,Family
858,F,27,Family
859,M,52,Premium
860,F,47,Family
861,F,41,Enterprise
862,F,42,Youth
863,M,55,Youth
864,M,32,Family
865,M,53,Youth
866,M,52,Youth
867,F,42,Enterprise
868,M,52,Youth
869,F,46,Youth
870,F,68,Premium
871,F,67,Premium
872,M,50,Enterprise
873,F,51,Youth
874,F,31,Family
875,M,50,Family
876,M,69,Youth
877,M,70,Enterprise
878,F,26,Family
879,F,40,Premium
880,F,49,Youth
881,F,43,Enterprise
882,F,44,Premium
883,M,60,Premium
884,M,28,Enterprise
885,M,35,Premium
886,M,31,Family
887,F,56,Family
888,F,68,Premium
889,M,47,Youth
890,F,46,Enterprise
891,M,57,Family
892,F,27,Youth
893,M,44,Family
894,F,39,Premium
895,F,18,Youth
896,M,60,Enterprise
897,F,67,Family
898,M,37,Enterprise
899,M,53,Family
900,F,25,Family
901,F,25,Enterprise
902,M,68,Enterprise
903,M,69,Enterprise
904,F,53,Family
905,F,33,Enterprise
906,F,53,Family
907,F,23,Youth
908,F,38,Youth
909,F,18,Enterprise
910,F,46,Enterprise
911,M,22,Youth
912,M,18,Enterprise
913,M,58,Family
914,F,21,Enterprise
915,F,53,Premium
916,M,31,Youth
917,F,70,Youth
918,M,45,Family
919,M,36,Youth
920,F,54,Family
921,F,35,Enterprise
922,M,42,Family
923,M,57,Youth
924,M,25,Youth
925,F,57,Youth
926,M,52,Enterprise
927,M,25,Youth
928,M,50,Youth
929,M,64,Enterprise
930,F,29,Family
931,F,56,Enterprise
932,F,53,Youth
933,F,68,Family
934,F,61,Youth
935,F,40,Family
936,M,25,Enterprise
937,M,54,Enterprise
938,F,34,Enterprise
939,F,65,Premium
940,M,23,Enterprise
941,M,50,Enterprise
942,M,70,Family
943,F,21,Enterprise
944,M,20,Family
945,F,65,Premium
946,F,40,Family
947,M,30,Family
948,M,54,Youth
949,M,22,Enterprise
950,M,61,Family
951,M,36,Youth
952,M,37,Premium
953,M,23,Premium
954,M,27,Youth
955,F,38,Family
956,F,27,Youth
957,M,29,Youth
958,M,56,Family
959,F,30,Enterprise
960,F,49,Premium
961,F,33,Enterprise
962,F,49,Enterprise
963,F,43,Premium
964,M,21,Premium
965,M,43,Family
966,F,43,Premium
967,M,19,Enterprise
968,F,49,Enterprise
969,F,41,Family
970,M,22,Family
971,F,25,Family
972,M,27,Youth
973,M,25,Enterprise
974,F,55,Premium
975,F,35,Enterprise
976,M,20,Enterprise
977,F,51,Enterprise
978,M,64,Enterprise
979,M,28,Family
980,F,23,Enterprise
981,M,69,Family
982,F,69,Youth
983,F,34,Family
984,M,33,Youth
985,M,68,Youth
986,M,54,Enterprise
987,F,34,Family
988,F,55,Youth
989,M,57,Youth
990,F,66,Enterprise
991,M,44,Family
992,M,67,Enterprise
993,M,63,Enterprise
994,M,49,Enterprise
995,F,20,Family
996,M,25,Premium
997,F,23,Family
998,M,39,Family
999,F,34,Youth
1000,M,21,Enterprise
1001,F,62,Premium
1002,M,46,Youth
1003,M,50,Enterprise
1004,F,23,Family
1005,F,52,Premium
1006,F,48,Family
1007,M,39,Family
1008,M,53,Enterprise
1009,M,44,Enterprise
1010,F,45,Enterprise
1011,M,67,Youth
1012,F,49,Enterprise
1013,M,44,Youth
1014,M,22,Premium
1015,F,31,Premium
1016,F,37,Premium
1017,F,27,Premium
1018,F,28,Enterprise
1019,M,60,Youth
1020,M,68,Enterprise
1021,M,63,Premium
1022,F,42,Youth
1023,M,70,Enterprise
1024,M,20,Premium
1025,M,32,Youth
1026,F,30,Youth
1027,M,28,Enterprise
1028,M,58,Family
1029,F,65,Family
1030,F,70,Enterprise
1031,F,30,Premium
1032,M,43,Premium
1033,F,69,Family
1034,F,49,Youth
1035,F,53,Premium
1036,M,23,Youth
1037,M,66,Enterprise
1038,F,64,Premium
1039,F,61,Premium
1040,F,20,Premium
1041,F,69,Youth
1042,M,40,Youth
1043,M,34,Premium
1044,M,70,Enterprise
1045,M,61,Family
1046,M,42,Enterprise
1047,F,26,Enterprise
1048,F,36,Family
1049,M,53,Family
1050,M,67,Family
1051,F,57,Premium
1052,M,40,Youth
1053,F,64,Youth
1054,M,29,Premium
1055,F,66,Youth
1056,M,19,Premium
1057,M,18,Youth
1058,M,40,Youth
1059,M,26,Family
1060,F,61,Enterprise
1061,M,57,Premium
1062,F,49,Premium
1063,M,28,Family
1064,M,69,Family
1065,F,40,Family
1066,F,30,Enterprise
1067,F,50,Premium
1068,F,19,Youth
1069,M,44,Youth
1070,M,62,Family
1071,M,36,Youth
1072,F,23,Premium
1073,F,55,Family
1074,F,26,Premium
1075,F,70,Premium
1076,F,30,Enterprise
1077,F,67,Premium
1078,F,46,Family
1079,F,48,Family
1080,M,25,Premium
1081,F,34,Premium
1082,M,66,Enterprise
1083,M,48,Premium
1084,M,64,Youth
1085,M,49,Premium
1086,M,43,Youth
1087,F,68,Enterprise
1088,F,57,Youth
1089,M,28,Premium
1090,M,49,Youth
1091,M,47,Family
1092,M,61,Premium
1093,M,64,Youth
1094,M,64,Youth
1095,M,28,Family
1096,M,36,Enterprise
1097,M,66,Family
1098,M,40,Premium
1099,M,21,Youth
1100,F,36,Family
1101,F,63,Youth
1102,F,66,Premium
1103,F,62,Family
1104,M,47,Premium
1105,F,27,Premium
1106,M,62,Family
1107,M,62,Family
1108,M,50,Youth
1109,M,24,Family
1110,M,52,Enterprise
1111,M,20,Family
1112,F,39,Youth
1113,M,58,Enterprise
1114,M,27,Premium
1115,F,34,Premium
1116,F,36,Youth
1117,F,43,Premium
1118,M,54,Youth
1119,F,69,Enterprise
1120,M,42,Youth
1121,M,23,Family
1122,M,55,Enterprise
1123,F,53,Premium
1124,M,20,Youth
1125,F,48,Premium
1126,F,34,Premium
1127,F,39,Family
1128,M,53,Family
1129,F,25,Family
1130,M,18,Youth
1131,F,20,Youth
1132,F,59,Premium
1133,M,49,Enterprise
1134,F,57,Premium
1135,F,69,Enterprise
1136,F,48,Youth
1137,M,47,Premium
1138,F,19,Enterprise
1139,M,29,Enterprise
1140,F,67,Premium
1141,M,25,Family
1142,M,58,Youth
1143,M,58,Youth
1144,F,43,Enterprise
1145,M,20,Premium
1146,F,57,Enterprise
1147,F,32,Youth
1148,F,22,Family
1149,M,32,Enterprise
1150,F,63,Youth
1151,F,24,Family
1152,M,49,Youth
1153,M,20,Family
1154,M,36,Family
1155,M,25,Enterprise
1156,F,20,Premium
1157,F,29,Premium
1158,F,40,Family
1159,F,47,Family
1160,F,55,Enterprise
1161,F,33,Premium
1162,M,60,Premium
1163,F,21,Youth
1164,F,27,Family
1165,M,44,Youth
1166,F,51,Premium
1167,M,34,Youth
1168,F,45,Enterprise
1169,M,58,Enterprise
1170,F,68,Enterprise
1171,M,59,Family
1172,M,37,Enterprise
1173,F,34,Youth
1174,F,58,Family
1175,F,41,Family
1176,F,38,Family
1177,M,47,Enterprise
1178,F,63,Family
1179,F,51,Enterprise
1180,F,42,Family
1181,F,40,Family
1182,F,32,Family
1183,F,42,Family
1184,F,69,Family
1185,M,20,Premium
1186,F,65,Youth
1187,F,18,Youth
1188,M,30,Enterprise
1189,M,38,Premium
1190,F,48,Family
1191,F,32,Youth
1192,F,28,Family
1193,M,59,Youth
1194,M,24,Premium
1195,M,64,Enterprise
1196,F,35,Youth
1197,M,60,Family
1198,F,51,Enterprise
1199,M,28,Family
1200,M,20,Youth
1201,M,56,Family
1202,F,58,Family
1203,M,42,Premium
1204,F,68,Youth
1205,F,37,Premium
1206,F,22,Enterprise
1207,F,27,Premium
1208,F,49,Premium
1209,M,55,Enterprise
1210,F,66,Premium
1211,M,32,Youth
1212,F,29,Family
1213,M,37,Premium
1214,F,58,Premium
1215,F,52,Enterprise
1216,F,57,Family
1217,F,30,Enterprise
1218,F,29,Family
1219,M,32,Youth
1220,M,30,Family
1221,F,58,Family
1222,M,47,Enterprise
1223,M,62,Enterprise
1224,F,53,Enterprise
1225,F,45,Enterprise
1226,M,62,Premium
1227,M,57,Enterprise
1228,M,67,Enterprise
1229,M,57,Premium
1230,F,34,Family
1231,M,31,Premium
1232,F,40,Family
1233,F,43,Youth
1234,F,58,Family
1235,M,53,Enterprise
1236,M,59,Family
1237,F,53,Youth
1238,F,24,Youth
1239,M,51,Youth
1240,F,20,Enterprise
1241,F,38,Enterprise
1242,F,32,Premium
1243,F,50,Youth
1244,M,28,Premium
1245,M,43,Premium
1246,M,19,Enterprise
1247,F,42,Enterprise
1248,M,20,Youth
1249,M,54,Family
1250,M,21,Youth
1251,M,24,Premium
1252,F,31,Youth
1253,M,54,Enterprise
1254,M,25,Youth
1255,F,57,Youth
1256,F,29,Youth
1257,M,44,Enterprise
1258,F,21,Family
1259,F,31,Premium
1260,F,65,Youth
1261,F,52,Youth
1262,F,63,Youth
1263,F,31,Youth
1264,F,45,Youth
1265,M,25,Family
1266,F,45,Family
1267,M,31,Enterprise
1268,M,21,Enterprise
1269,M,63,Family
1270,M,70,Enterprise
1271,F,66,Youth
1272,M,62,Youth
1273,M,70,Youth
1274,F,62,Premium
1275,M,38,Premium
1276,F,23,Youth
1277,M,55,Enterprise
1278,M,67,Premium
1279,F,53,Premium
1280,M,31,Enterprise
1281,F,70,Family
1282,M,68,Premium
1283,F,28,Premium
1284,F,30,Family
1285,F,37,Premium
1286,F,23,Youth
1287,M,61,Family
1288,F,66,Enterprise
1289,M,28,Premium
1290,F,48,Family
1291,F,44,Premium
1292,F,24,Premium
1293,F,68,Family
1294,F,55,Youth
1295,F,22,Youth
1296,M,23,Youth
1297,F,62,Family
1298,F,61,Youth
1299,M,37,Premium
1300,F,34,Youth
1301,F,20,Youth
1302,F,35,Youth
1303,M,27,Enterprise
1304,M,33,Youth
1305,F,42,Youth
1306,F,59,Premium
1307,M,65,Family
1308,F,46,Enterprise
1309,M,65,Enterprise
1310,M,30,Family
1311,F,66,Family
1312,M,49,Youth
1313,F,46,Enterprise
1314,M,60,Premium
1315,M,38,Premium
1316,F,55,Enterprise
1317,F,47,Youth
1318,M,64,Premium
1319,F,30,Premium
1320,F,34,Youth
1321,F,48,Enterprise
1322,M,20,Family
1323,F,57,Enterprise
1324,F,25,Family
1325,F,42,Youth
1326,M,32,Family
1327,F,50,Family
1328,F,23,Premium
